,attractor_group
bn_411,96
bn_361,35
bn_60,1
bn_109,0
bn_975,9
bn_265,31
bn_784,11
bn_595,32
bn_34,7
bn_624,49
bn_520,4
bn_980,49
bn_529,15
bn_461,32
bn_300,4
bn_985,65
bn_818,7
bn_707,64
bn_421,2
bn_631,24
bn_399,17
bn_152,2
bn_708,66
bn_380,2
bn_108,1
bn_393,2
bn_129,12
bn_314,40
bn_918,23
bn_54,5
bn_179,20
bn_722,79
bn_554,5
bn_213,57
bn_192,14
bn_958,8
bn_676,45
bn_503,30
bn_119,29
bn_521,6
bn_460,97
bn_117,20
bn_934,101
bn_391,41
bn_823,61
bn_872,36
bn_717,76
bn_576,95
bn_811,21
bn_833,100
bn_571,7
bn_454,2
bn_839,47
bn_339,38
bn_161,7
bn_405,0
bn_301,5
bn_928,11
bn_228,2
bn_894,8
bn_432,58
bn_667,21
bn_85,3
bn_476,2
bn_410,4
bn_120,40
bn_773,77
bn_887,44
bn_856,33
bn_158,0
bn_546,35
bn_323,74
bn_962,12
bn_51,39
bn_840,33
bn_542,17
bn_885,75
bn_330,7
bn_849,99
bn_502,4
bn_900,12
bn_892,1
bn_555,7
bn_217,1
bn_316,2
bn_653,1
bn_589,22
bn_701,8
bn_560,39
bn_553,6
bn_508,2
bn_758,23
bn_353,98
bn_212,28
bn_67,3
bn_527,16
bn_914,79
bn_336,78
bn_271,17
bn_154,16
bn_388,6
bn_829,72
bn_105,6
bn_853,73
bn_635,0
bn_869,60
bn_696,23
bn_704,11
bn_39,27
bn_563,13
bn_446,30
bn_311,30
bn_801,10
bn_543,16
bn_436,13
bn_258,6
bn_313,7
bn_779,81
bn_939,21
bn_990,8
bn_174,27
bn_480,12
bn_101,3
bn_198,1
bn_967,0
bn_90,59
bn_898,80
bn_11,0
bn_94,38
bn_587,64
bn_378,29
bn_92,1
bn_545,50
bn_444,29
bn_407,3
bn_294,2
bn_156,1
bn_598,0
bn_96,98
bn_870,22
bn_494,26
bn_769,10
bn_699,61
bn_329,34
bn_195,103
bn_987,44
bn_95,37
bn_425,4
bn_976,11
bn_71,0
bn_718,8
bn_64,14
bn_475,32
bn_977,10
