,attractor_group
bn_411,173
bn_361,0
bn_60,1
bn_109,82
bn_975,83
bn_265,84
bn_784,85
bn_595,218
bn_34,86
bn_624,172
bn_520,86
bn_980,87
bn_529,188
bn_461,88
bn_300,89
bn_985,90
bn_818,91
bn_707,104
bn_421,105
bn_631,124
bn_399,106
bn_152,330
bn_708,107
bn_380,125
bn_108,299
bn_393,108
bn_129,128
bn_314,109
bn_918,129
bn_54,110
bn_179,111
bn_722,112
bn_554,268
bn_213,364
bn_192,273
bn_958,274
bn_676,9
bn_503,137
bn_119,10
bn_521,271
bn_460,11
bn_117,90
bn_934,269
bn_391,12
bn_823,136
bn_872,13
bn_717,14
bn_576,135
bn_811,15
bn_833,16
bn_571,140
bn_454,280
bn_839,141
bn_339,281
bn_161,377
bn_405,142
bn_301,85
bn_928,28
bn_228,29
bn_894,143
bn_432,112
bn_667,10
bn_85,282
bn_476,144
bn_410,30
bn_120,31
bn_773,32
bn_887,283
bn_856,253
bn_158,248
bn_546,249
bn_323,282
bn_962,40
bn_51,361
bn_840,176
bn_542,177
bn_885,41
bn_330,42
bn_849,43
bn_502,124
bn_900,44
bn_892,250
bn_555,251
bn_217,0
bn_316,178
bn_653,194
bn_589,178
bn_701,109
bn_560,195
bn_553,273
bn_508,45
bn_758,56
bn_353,182
bn_212,358
bn_67,57
bn_527,58
bn_914,183
bn_336,184
bn_271,250
bn_154,359
bn_388,13
bn_829,185
bn_105,186
bn_853,235
bn_635,179
bn_869,221
bn_696,59
bn_704,57
bn_39,60
bn_563,61
bn_446,132
bn_311,131
bn_801,59
bn_543,144
bn_436,71
bn_258,57
bn_313,130
bn_779,130
bn_939,275
bn_990,72
bn_174,14
bn_480,73
bn_101,89
bn_198,366
bn_967,74
bn_90,75
bn_898,76
bn_11,319
bn_94,77
bn_587,150
bn_378,158
bn_92,370
bn_545,296
bn_444,118
bn_407,221
bn_294,92
bn_156,291
bn_598,1
bn_96,16
bn_870,12
bn_494,117
bn_769,279
bn_699,116
bn_329,115
bn_195,292
bn_987,93
bn_95,94
bn_425,276
bn_976,95
bn_71,71
bn_718,106
bn_64,313
bn_475,298
bn_977,96
bn_620,158
bn_348,186
bn_804,114
bn_387,97
bn_884,29
bn_498,56
bn_889,134
bn_836,270
bn_523,239
bn_70,66
bn_398,238
bn_512,41
bn_242,67
bn_905,298
bn_677,68
bn_260,77
bn_482,60
bn_72,97
bn_864,196
bn_785,75
bn_593,197
bn_91,69
bn_695,133
bn_578,200
bn_499,70
bn_15,201
bn_20,376
bn_935,159
bn_767,78
bn_202,79
bn_286,260
bn_999,80
bn_815,81
bn_150,261
bn_513,262
bn_139,236
bn_138,267
bn_910,266
bn_204,92
bn_906,237
bn_255,116
bn_383,136
bn_44,371
bn_516,85
bn_989,50
bn_413,156
bn_897,51
bn_173,108
bn_703,157
bn_564,52
bn_896,53
bn_462,265
bn_240,264
bn_440,207
bn_789,30
bn_912,135
bn_113,164
bn_754,95
bn_702,136
bn_723,247
bn_42,360
bn_488,82
bn_18,246
bn_297,233
bn_243,54
bn_235,59
bn_187,96
bn_949,163
bn_690,79
bn_496,90
bn_493,162
bn_270,55
bn_291,62
bn_537,180
bn_403,180
bn_658,332
bn_798,63
bn_55,64
bn_145,220
bn_75,223
bn_619,181
bn_511,183
bn_778,65
bn_289,67
bn_350,190
bn_908,222
bn_249,68
bn_807,14
bn_533,191
