,attractor_group
bn_411,0
bn_361,144
bn_60,43
bn_109,212
bn_975,42
bn_265,207
bn_784,78
bn_595,41
bn_34,31
bn_624,209
bn_520,139
bn_980,263
bn_529,76
bn_461,77
bn_300,39
bn_985,40
bn_818,102
bn_707,117
bn_421,161
bn_631,56
bn_399,33
bn_152,202
bn_708,255
bn_380,108
bn_108,107
bn_393,162
bn_129,57
bn_314,23
bn_918,12
bn_54,244
bn_179,243
bn_722,22
bn_554,16
bn_213,128
bn_192,230
bn_958,43
bn_676,224
bn_503,56
bn_119,71
bn_521,14
bn_460,115
bn_117,226
bn_934,116
bn_391,18
bn_823,101
bn_872,70
bn_717,27
bn_576,231
bn_811,17
bn_833,69
bn_571,152
bn_454,222
bn_839,93
bn_339,94
bn_161,220
bn_405,53
bn_301,39
bn_928,102
bn_228,28
bn_894,52
bn_432,15
bn_667,6
bn_85,151
bn_476,71
bn_410,63
bn_120,79
bn_773,19
bn_887,23
bn_856,171
bn_158,273
bn_546,82
bn_323,2
bn_962,155
bn_51,116
bn_840,12
bn_542,49
bn_885,20
bn_330,150
bn_849,14
bn_502,79
bn_900,271
bn_892,75
bn_555,75
bn_217,199
bn_316,37
bn_653,19
bn_589,157
bn_701,90
bn_560,216
bn_553,43
bn_508,107
bn_758,23
bn_353,91
bn_212,128
bn_67,74
bn_527,158
bn_914,140
bn_336,12
bn_271,1
bn_154,196
bn_388,134
bn_829,8
bn_105,197
bn_853,133
bn_635,235
bn_869,22
bn_696,93
bn_704,194
bn_39,141
bn_563,193
bn_446,8
bn_311,9
bn_801,25
bn_543,154
bn_436,22
bn_258,135
bn_313,85
bn_779,6
bn_939,193
bn_990,50
bn_174,198
bn_480,218
bn_101,217
bn_198,2
bn_967,149
bn_90,226
bn_898,76
bn_11,51
bn_94,192
bn_587,191
bn_378,10
bn_92,200
bn_545,70
bn_444,26
bn_407,11
bn_294,10
bn_156,262
bn_598,77
bn_96,84
bn_870,13
bn_494,73
bn_769,12
bn_699,0
bn_329,215
bn_195,156
bn_987,47
bn_95,42
bn_425,122
bn_976,269
bn_71,46
bn_718,39
bn_64,77
bn_475,45
bn_977,45
bn_620,236
bn_348,51
bn_804,216
bn_387,14
bn_884,16
bn_498,237
bn_889,83
bn_836,120
bn_523,53
bn_70,44
bn_398,38
bn_512,123
bn_242,35
bn_905,154
bn_677,224
bn_260,25
bn_482,92
bn_72,57
bn_864,118
bn_785,121
bn_593,57
bn_91,71
bn_695,33
bn_578,155
bn_499,119
bn_15,48
bn_20,219
bn_935,153
bn_767,3
bn_202,162
bn_286,89
bn_999,72
bn_815,9
bn_150,40
bn_513,12
bn_139,54
bn_138,238
bn_910,14
bn_204,19
bn_906,87
bn_255,5
bn_383,3
bn_44,88
bn_516,69
bn_989,54
bn_413,49
bn_897,78
bn_173,217
bn_703,5
bn_564,221
bn_896,88
bn_462,86
bn_240,80
bn_440,13
bn_789,18
bn_912,53
bn_113,198
bn_754,20
bn_702,5
bn_723,22
bn_42,62
bn_488,229
bn_18,61
bn_297,99
bn_243,35
bn_235,38
bn_187,235
bn_949,48
bn_690,35
bn_496,209
bn_493,81
bn_270,1
bn_291,22
bn_537,133
bn_403,7
bn_658,30
bn_798,0
bn_55,153
bn_145,60
bn_75,54
bn_619,243
bn_511,44
bn_778,2
bn_289,117
bn_350,98
bn_908,127
bn_249,95
bn_807,83
bn_533,94
bn_77,50
bn_368,25
bn_178,96
bn_254,5
bn_645,225
bn_199,2
bn_434,43
bn_825,39
bn_647,97
bn_298,26
bn_716,27
bn_686,29
bn_850,64
bn_609,92
bn_875,1
bn_917,63
bn_762,9
bn_592,65
bn_966,131
bn_929,180
bn_276,172
bn_168,197
bn_56,75
bn_491,71
bn_17,13
bn_16,179
bn_206,7
bn_886,32
bn_167,228
bn_649,24
bn_295,10
bn_916,267
bn_408,227
bn_651,28
bn_278,108
bn_472,60
bn_787,94
bn_401,2
bn_666,6
bn_49,132
bn_115,67
bn_964,129
bn_923,66
bn_259,135
bn_562,130
bn_599,100
bn_681,163
bn_988,41
bn_515,66
bn_924,223
bn_183,249
bn_290,22
bn_430,1
bn_660,171
bn_991,73
bn_79,73
bn_650,28
bn_737,258
bn_616,229
bn_362,68
bn_893,9
bn_14,53
bn_123,92
bn_873,4
bn_782,51
bn_837,167
bn_524,248
bn_371,39
bn_585,222
bn_981,272
bn_519,164
bn_909,168
bn_816,169
bn_827,37
bn_490,42
bn_87,149
bn_147,256
bn_891,101
bn_466,42
bn_305,113
bn_463,100
bn_797,29
bn_874,55
bn_858,170
bn_776,259
bn_953,147
bn_832,123
bn_851,53
bn_257,257
bn_899,133
bn_372,172
bn_293,36
bn_89,60
bn_404,62
bn_209,247
bn_994,264
bn_93,58
bn_559,52
bn_625,237
bn_812,68
bn_306,20
bn_605,232
bn_780,248
bn_28,252
bn_810,16
bn_248,95
bn_501,84
bn_684,166
bn_859,33
bn_793,93
bn_878,61
bn_48,16
bn_691,35
bn_374,17
bn_665,2
bn_541,141
bn_441,32
bn_384,88
bn_867,126
bn_662,38
bn_518,62
bn_761,83
bn_103,251
bn_288,117
bn_951,68
bn_82,238
bn_792,163
bn_652,19
bn_304,113
bn_841,62
bn_694,33
bn_427,261
bn_360,153
bn_210,125
bn_31,55
bn_185,107
bn_419,253
bn_400,69
bn_526,51
bn_720,124
bn_913,158
bn_149,74
bn_965,151
bn_269,27
bn_345,18
bn_30,261
bn_414,114
bn_478,50
bn_963,146
bn_715,36
bn_303,8
bn_321,165
bn_245,34
bn_640,254
bn_760,83
bn_697,93
bn_791,98
bn_479,44
bn_740,214
bn_727,26
bn_756,175
bn_504,260
bn_46,165
bn_52,112
bn_663,38
bn_509,111
bn_191,189
bn_234,38
bn_730,10
bn_151,45
bn_141,115
bn_486,96
bn_819,177
bn_207,7
bn_328,134
bn_633,274
bn_842,30
bn_216,199
bn_721,124
bn_594,54
bn_218,160
bn_477,176
bn_569,173
bn_99,187
bn_517,188
bn_443,52
bn_471,46
bn_860,7
bn_926,188
bn_993,187
bn_189,111
bn_904,245
bn_230,6
bn_137,131
bn_495,50
bn_881,159
bn_689,167
bn_626,103
bn_600,47
bn_634,107
bn_772,24
bn_451,146
bn_638,111
bn_551,174
bn_148,47
bn_643,110
bn_417,132
bn_264,207
bn_470,74
bn_363,48
bn_98,59
bn_539,245
bn_719,39
bn_485,59
bn_712,25
bn_586,60
bn_157,232
bn_750,37
bn_835,140
bn_739,113
bn_222,114
bn_809,36
bn_568,68
bn_45,69
bn_386,12
bn_945,275
bn_733,1
bn_215,109
bn_130,65
bn_481,213
bn_601,40
bn_845,35
bn_219,160
bn_678,95
bn_655,21
bn_379,8
bn_159,246
bn_6,32
bn_950,15
bn_982,74
bn_820,221
bn_783,11
bn_692,170
bn_753,159
bn_646,97
bn_416,116
bn_606,250
bn_409,109
bn_252,29
bn_29,144
bn_68,100
bn_817,27
bn_996,119
bn_693,170
bn_890,174
bn_176,106
bn_69,86
bn_337,31
bn_352,116
bn_741,214
bn_356,132
bn_326,127
bn_429,182
bn_713,25
bn_675,80
bn_448,231
bn_590,186
bn_62,70
bn_377,1
bn_847,0
bn_274,161
bn_312,85
bn_59,277
bn_960,185
bn_334,109
bn_135,129
bn_630,84
bn_711,99
bn_752,159
bn_296,99
bn_940,55
bn_997,67
bn_986,65
bn_262,4
bn_32,276
bn_373,178
bn_522,64
bn_959,173
bn_153,191
bn_735,8
bn_724,126
bn_535,98
bn_610,106
bn_796,34
bn_931,130
bn_43,164
bn_757,175
bn_331,242
bn_668,7
bn_106,106
bn_50,15
bn_636,201
bn_794,166
bn_611,96
bn_865,124
bn_116,44
bn_131,151
bn_38,227
bn_602,74
bn_285,178
bn_671,11
bn_505,201
bn_710,99
bn_364,244
bn_381,89
bn_682,34
bn_13,158
bn_570,112
bn_322,24
bn_428,181
bn_84,190
bn_110,105
bn_220,184
bn_211,125
bn_229,28
bn_469,148
bn_648,24
bn_497,183
bn_318,3
bn_396,30
bn_193,230
bn_354,15
bn_114,72
bn_238,11
bn_705,194
bn_458,57
bn_759,23
bn_510,46
bn_200,204
bn_132,149
bn_612,213
bn_492,105
bn_104,103
bn_412,219
bn_802,82
bn_613,67
bn_921,165
bn_808,15
bn_863,5
bn_241,80
bn_763,9
bn_973,58
bn_437,20
bn_946,278
bn_194,156
bn_654,21
bn_544,118
bn_203,162
bn_251,33
bn_136,210
bn_843,6
bn_765,101
bn_474,157
bn_656,120
bn_3,98
bn_420,135
bn_895,3
bn_282,182
bn_442,61
bn_932,91
bn_395,160
bn_197,24
bn_669,7
bn_268,27
bn_907,64
bn_700,90
bn_627,79
bn_36,94
bn_292,36
bn_877,10
bn_97,208
bn_253,29
bn_5,18
bn_745,137
bn_175,268
bn_26,122
bn_536,140
bn_659,30
bn_674,80
bn_534,136
bn_155,250
bn_233,97
bn_487,72
bn_65,45
bn_530,31
bn_992,183
bn_315,23
bn_370,36
bn_284,178
bn_347,29
bn_738,113
bn_309,17
bn_333,184
bn_273,211
bn_250,33
bn_614,59
bn_80,210
bn_275,161
bn_349,11
bn_128,77
bn_582,202
bn_725,126
bn_978,270
bn_214,109
bn_58,253
bn_40,12
bn_338,66
bn_736,258
bn_201,204
bn_358,16
bn_806,130
bn_972,138
bn_112,56
bn_979,44
bn_324,87
bn_447,3
bn_180,59
bn_33,143
bn_814,112
bn_822,180
bn_244,34
bn_749,177
bn_239,11
bn_936,174
bn_746,17
bn_952,52
bn_538,223
bn_456,65
bn_310,9
bn_664,2
bn_164,187
bn_632,260
bn_608,218
bn_942,70
bn_920,121
bn_223,114
bn_596,115
bn_484,106
bn_319,3
bn_63,145
bn_365,252
bn_938,142
bn_406,6
bn_565,143
bn_143,100
bn_957,179
bn_415,5
bn_397,35
bn_8,49
bn_786,31
bn_19,150
bn_795,90
bn_88,256
bn_925,141
bn_1,215
bn_868,15
bn_57,152
bn_561,145
bn_41,66
bn_160,234
bn_140,41
bn_557,61
bn_774,28
bn_181,81
bn_683,34
bn_188,84
bn_983,46
bn_766,3
bn_604,196
bn_133,190
bn_134,233
bn_280,195
bn_866,169
bn_392,156
bn_956,61
bn_597,86
bn_558,32
bn_424,91
bn_346,21
bn_127,42
bn_944,265
bn_27,91
bn_279,108
bn_236,21
bn_948,13
bn_888,142
bn_607,246
bn_76,40
bn_22,87
bn_657,120
bn_628,183
bn_344,14
bn_954,75
bn_922,266
bn_247,0
bn_771,14
bn_12,14
bn_24,127
bn_171,279
bn_552,15
bn_226,30
bn_186,79
bn_857,38
bn_86,233
bn_621,228
bn_489,236
bn_375,37
bn_172,208
bn_732,1
bn_528,78
bn_340,28
bn_277,172
bn_828,48
bn_943,145
bn_351,5
bn_163,203
bn_969,176
bn_556,13
bn_224,110
bn_162,92
bn_687,29
bn_500,103
bn_423,108
bn_726,26
bn_830,104
bn_729,4
bn_125,192
bn_672,240
bn_831,3
bn_790,136
bn_755,20
bn_467,73
bn_622,81
bn_111,220
bn_852,76
bn_457,54
bn_532,121
bn_376,4
bn_937,241
bn_144,58
