,attractor_group
bn_411,0
bn_361,40
bn_60,1
bn_109,171
bn_975,2
bn_265,26
bn_784,27
bn_595,124
bn_34,172
bn_624,52
bn_520,26
bn_980,4
bn_529,3
bn_461,53
bn_300,104
bn_985,21
bn_818,170
bn_707,22
bn_421,36
bn_631,83
bn_399,1
bn_152,39
bn_708,115
bn_380,177
bn_108,84
bn_393,5
bn_129,22
bn_314,123
bn_918,35
bn_54,5
bn_179,50
bn_722,19
bn_554,85
bn_213,173
bn_192,86
bn_958,18
bn_676,174
bn_503,20
bn_119,8
bn_521,26
bn_460,30
bn_117,0
bn_934,88
bn_391,29
bn_823,87
bn_872,38
bn_717,28
bn_576,23
bn_811,176
bn_833,27
bn_571,83
bn_454,9
bn_839,30
bn_339,8
bn_161,34
bn_405,175
bn_301,28
bn_928,102
bn_228,54
bn_894,6
bn_432,86
bn_667,10
bn_85,5
bn_476,30
bn_410,37
bn_120,33
bn_773,7
bn_887,56
bn_856,24
bn_158,55
bn_546,33
bn_323,9
bn_962,103
bn_51,37
bn_840,24
bn_542,0
bn_885,43
bn_330,111
bn_849,27
bn_502,15
bn_900,4
bn_892,8
bn_555,85
bn_217,16
bn_316,150
bn_653,42
bn_589,5
bn_701,14
bn_560,112
bn_553,152
bn_508,40
bn_758,151
bn_353,4
bn_212,169
bn_67,3
bn_527,65
bn_914,108
bn_336,32
bn_271,148
bn_154,36
bn_388,3
bn_829,8
bn_105,66
bn_853,7
bn_635,167
bn_869,43
bn_696,13
bn_704,22
bn_39,33
bn_563,29
bn_446,16
bn_311,13
bn_801,32
bn_543,0
bn_436,12
bn_258,112
bn_313,68
bn_779,116
bn_939,166
bn_990,2
bn_174,2
bn_480,54
bn_101,165
bn_198,69
bn_967,40
bn_90,0
bn_898,109
bn_11,84
bn_94,147
bn_587,114
bn_378,168
bn_92,38
bn_545,113
bn_444,28
bn_407,11
bn_294,19
bn_156,146
bn_598,85
bn_96,67
bn_870,56
bn_494,2
bn_769,27
bn_699,13
bn_329,30
bn_195,57
bn_987,110
bn_95,6
bn_425,163
bn_976,25
bn_71,124
bn_718,28
bn_64,58
bn_475,164
bn_977,25
bn_620,5
bn_348,122
bn_804,43
bn_387,161
bn_884,43
bn_498,60
bn_889,63
bn_836,7
bn_523,65
bn_70,44
bn_398,162
bn_512,23
bn_242,159
bn_905,21
bn_677,149
bn_260,23
bn_482,60
bn_72,37
bn_864,59
bn_785,27
bn_593,44
bn_91,11
bn_695,160
bn_578,107
bn_499,62
bn_15,64
bn_20,31
bn_935,88
bn_767,14
bn_202,36
bn_286,61
bn_999,125
bn_815,6
bn_150,55
bn_513,23
bn_139,35
bn_138,109
bn_910,2
bn_204,4
bn_906,106
bn_255,18
bn_383,18
bn_44,41
bn_516,52
bn_989,15
bn_413,158
bn_897,25
bn_173,14
bn_703,14
bn_564,105
bn_896,25
bn_462,17
bn_240,157
bn_440,156
bn_789,7
bn_912,25
bn_113,7
bn_754,34
bn_702,14
bn_723,19
bn_42,11
bn_488,155
bn_18,154
bn_297,28
bn_243,153
bn_235,13
bn_187,136
bn_949,51
bn_690,34
bn_496,54
bn_493,81
bn_270,134
bn_291,10
bn_537,3
bn_403,0
bn_658,19
bn_798,17
bn_55,9
bn_145,49
bn_75,32
bn_619,89
bn_511,18
bn_778,116
bn_289,12
bn_350,135
bn_908,15
bn_249,16
bn_807,87
bn_533,48
bn_77,101
bn_368,49
bn_178,21
bn_254,78
bn_645,92
bn_199,62
bn_434,82
bn_825,63
bn_647,91
bn_298,90
bn_716,28
bn_686,79
bn_850,97
bn_609,23
bn_875,183
bn_917,4
bn_762,13
bn_592,52
bn_966,40
bn_929,49
bn_276,29
bn_168,100
bn_56,0
bn_491,182
bn_17,181
bn_16,67
bn_206,45
bn_886,56
bn_167,20
bn_649,12
bn_295,10
bn_916,4
bn_408,80
bn_651,12
bn_278,29
bn_472,184
bn_787,101
bn_401,77
bn_666,10
bn_49,6
bn_115,41
bn_964,4
bn_923,99
bn_259,128
bn_562,29
bn_599,85
bn_681,47
bn_988,15
bn_515,23
bn_924,15
bn_183,20
bn_290,19
bn_430,16
bn_660,100
bn_991,2
bn_79,46
bn_650,12
bn_737,39
bn_616,26
bn_362,98
bn_893,8
bn_14,179
bn_123,17
bn_873,63
bn_782,17
bn_837,7
bn_524,26
bn_371,20
bn_585,26
bn_981,4
bn_519,44
bn_909,15
bn_816,59
bn_827,180
bn_490,178
bn_87,17
bn_147,45
bn_891,196
bn_466,84
bn_305,36
bn_463,6
bn_797,9
bn_874,132
