,attractor_group
bn_411,22
bn_361,3
bn_60,22
bn_109,29
bn_975,18
bn_265,4
bn_784,0
bn_595,7
bn_34,27
bn_624,1
bn_520,0
bn_980,41
bn_529,36
bn_461,26
bn_300,5
bn_985,5
bn_818,12
bn_707,7
bn_421,28
bn_631,20
bn_399,29
bn_152,1
bn_708,2
bn_380,13
bn_108,25
bn_393,6
bn_129,0
bn_314,14
bn_918,50
bn_54,12
bn_179,3
bn_722,9
bn_554,5
bn_213,10
bn_192,1
bn_958,52
bn_676,46
bn_503,53
bn_119,32
bn_521,43
bn_460,3
bn_117,40
bn_934,11
bn_391,23
bn_823,20
bn_872,1
bn_717,17
bn_576,0
bn_811,15
bn_833,9
bn_571,51
bn_454,27
bn_839,18
bn_339,24
bn_161,0
bn_405,15
bn_301,25
bn_928,1
bn_228,4
bn_894,19
bn_432,1
bn_667,19
bn_85,40
bn_476,3
bn_410,43
bn_120,12
bn_773,16
bn_887,20
bn_856,0
bn_158,22
bn_546,5
bn_323,28
bn_962,4
bn_51,10
bn_840,0
bn_542,30
bn_885,11
bn_330,5
bn_849,4
bn_502,58
bn_900,2
bn_892,13
bn_555,56
bn_217,12
bn_316,3
bn_653,16
bn_589,17
bn_701,45
bn_560,1
bn_553,3
bn_508,3
bn_758,21
bn_353,5
bn_212,10
bn_67,0
bn_527,29
bn_914,4
bn_336,1
bn_271,57
bn_154,12
bn_388,5
bn_829,15
bn_105,7
bn_853,19
bn_635,21
bn_869,17
bn_696,1
bn_704,0
bn_39,0
bn_563,15
bn_446,15
bn_311,31
bn_801,12
bn_543,33
bn_436,2
bn_258,2
bn_313,13
bn_779,17
bn_939,15
bn_990,8
bn_174,23
bn_480,0
bn_101,9
bn_198,32
bn_967,18
bn_90,1
bn_898,9
bn_11,38
bn_94,33
bn_587,16
bn_378,14
bn_92,30
bn_545,6
bn_444,14
bn_407,31
bn_294,8
bn_156,10
bn_598,21
bn_96,4
bn_870,11
bn_494,56
bn_769,4
bn_699,19
bn_329,3
bn_195,2
bn_987,21
bn_95,22
bn_425,6
bn_976,0
bn_71,27
bn_718,8
bn_64,23
bn_475,39
bn_977,4
bn_620,2
bn_348,13
bn_804,10
bn_387,27
bn_884,12
bn_498,14
bn_889,3
bn_836,2
bn_523,25
bn_70,37
bn_398,8
bn_512,0
bn_242,10
bn_905,5
bn_677,16
bn_260,9
bn_482,5
bn_72,34
bn_864,1
bn_785,9
bn_593,4
bn_91,38
bn_695,20
bn_578,4
bn_499,15
bn_15,1
bn_20,35
bn_935,55
bn_767,20
bn_202,24
bn_286,54
bn_999,18
bn_815,18
bn_150,24
bn_513,37
bn_139,25
bn_138,4
bn_910,8
bn_204,11
bn_906,2
bn_255,33
bn_383,33
bn_44,26
bn_516,42
bn_989,19
bn_413,30
bn_897,4
bn_173,7
bn_703,20
bn_564,2
bn_896,0
bn_462,25
bn_240,1
bn_440,1
bn_789,21
bn_912,0
bn_113,24
bn_754,10
bn_702,21
bn_723,7
bn_42,25
bn_488,0
bn_18,25
bn_297,6
bn_243,32
bn_235,25
bn_187,69
bn_949,11
bn_690,48
bn_496,1
bn_493,59
bn_270,69
bn_291,28
bn_537,43
bn_403,32
bn_658,47
bn_798,8
bn_55,1
bn_145,2
bn_75,37
bn_619,15
bn_511,61
bn_778,2
bn_289,5
bn_350,22
bn_908,6
bn_249,3
bn_807,18
bn_533,32
bn_77,41
bn_368,1
bn_178,3
bn_254,22
bn_645,16
bn_199,60
bn_434,14
bn_825,3
bn_647,18
bn_298,3
bn_716,5
bn_686,17
bn_850,9
bn_609,10
bn_875,15
bn_917,62
bn_762,14
bn_592,0
bn_966,16
bn_929,12
bn_276,10
bn_168,4
bn_56,33
bn_491,8
bn_17,26
bn_16,29
bn_206,31
bn_886,21
bn_167,63
bn_649,47
bn_295,23
bn_916,3
bn_408,1
bn_651,17
bn_278,11
bn_472,1
bn_787,7
bn_401,42
bn_666,3
bn_49,11
bn_115,31
bn_964,40
bn_923,65
bn_259,64
bn_562,13
bn_599,20
bn_681,48
bn_988,6
bn_515,35
bn_924,5
bn_183,66
bn_290,2
bn_430,8
bn_660,3
bn_991,20
bn_79,26
bn_650,2
bn_737,10
bn_616,1
bn_362,5
bn_893,15
bn_14,2
bn_123,41
bn_873,13
bn_782,8
bn_837,17
bn_524,37
bn_371,24
bn_585,6
bn_981,19
bn_519,23
bn_909,67
bn_816,1
bn_827,19
bn_490,6
bn_87,32
bn_147,32
bn_891,21
bn_466,36
bn_305,2
bn_463,29
bn_797,21
bn_874,14
bn_858,3
bn_776,0
bn_953,3
bn_832,0
bn_851,7
bn_257,4
bn_899,7
bn_372,13
bn_293,27
bn_89,39
bn_404,14
bn_209,1
bn_994,40
bn_93,41
bn_559,68
bn_625,3
bn_812,2
bn_306,14
bn_605,19
bn_780,6
bn_28,30
bn_810,13
bn_248,1
bn_501,70
bn_684,2
bn_859,21
bn_793,6
bn_878,16
bn_48,31
bn_691,21
bn_374,15
bn_665,44
bn_541,39
bn_441,13
bn_384,0
bn_867,16
bn_662,19
bn_518,27
bn_761,3
bn_103,27
bn_288,0
bn_951,71
bn_82,24
bn_792,0
bn_652,44
bn_304,1
bn_841,6
bn_694,19
bn_427,26
bn_360,0
bn_210,3
bn_31,1
bn_185,4
bn_419,8
bn_400,1
bn_526,26
bn_720,0
bn_913,9
bn_149,11
bn_965,17
bn_269,66
bn_345,3
bn_30,3
bn_414,15
bn_478,30
bn_963,7
bn_715,16
bn_303,29
bn_321,5
bn_245,11
bn_640,0
bn_760,1
bn_697,3
bn_791,20
bn_479,33
bn_740,12
bn_727,20
bn_756,12
bn_504,1
bn_46,9
bn_52,24
bn_663,20
bn_509,51
bn_191,57
bn_234,4
bn_730,3
bn_151,31
bn_141,7
bn_486,73
bn_819,21
bn_207,72
bn_328,0
bn_633,3
bn_842,2
bn_216,12
bn_721,4
bn_594,9
bn_218,30
bn_477,22
bn_569,3
bn_99,40
bn_517,28
bn_443,22
bn_471,31
bn_860,6
bn_926,8
bn_993,10
bn_189,7
bn_904,0
bn_230,28
bn_137,3
bn_495,68
bn_881,3
bn_689,3
bn_626,10
bn_600,0
bn_634,14
bn_772,2
bn_451,35
bn_638,19
bn_551,74
bn_148,12
bn_643,49
bn_417,6
bn_264,0
bn_470,32
bn_363,25
bn_98,28
bn_539,22
bn_719,18
bn_485,75
bn_712,0
bn_586,2
bn_157,11
bn_750,16
bn_835,7
bn_739,16
bn_222,33
bn_809,14
bn_568,1
bn_45,3
bn_386,6
bn_945,3
bn_733,19
bn_215,76
bn_130,2
bn_481,6
bn_601,5
bn_845,17
bn_219,54
bn_678,45
bn_655,18
bn_379,30
bn_159,33
bn_6,37
bn_950,50
bn_982,21
bn_820,10
bn_783,18
bn_692,46
bn_753,3
bn_646,17
bn_416,0
bn_606,8
bn_409,13
bn_252,10
bn_29,36
bn_68,28
bn_817,3
bn_996,12
bn_693,45
bn_890,14
bn_176,0
bn_69,40
bn_337,14
bn_352,0
bn_741,17
bn_356,6
bn_326,8
bn_429,25
bn_713,6
bn_675,17
bn_448,0
bn_590,8
bn_62,10
bn_377,3
bn_847,18
bn_274,2
bn_312,1
bn_59,12
bn_960,0
bn_334,26
bn_135,23
bn_630,21
bn_711,18
bn_752,1
bn_296,0
bn_940,2
bn_997,17
bn_986,43
bn_262,7
bn_32,23
bn_373,32
bn_522,34
bn_959,77
bn_153,3
bn_735,20
bn_724,3
bn_535,31
bn_610,2
bn_796,5
bn_931,78
bn_43,4
bn_757,11
bn_331,25
bn_668,47
bn_106,0
bn_50,32
bn_636,13
bn_794,3
bn_611,16
bn_865,10
bn_116,1
bn_131,9
bn_38,4
bn_602,3
bn_285,76
bn_671,20
bn_505,14
bn_710,16
bn_364,6
bn_381,15
bn_682,46
bn_13,36
bn_570,13
bn_322,2
bn_428,5
bn_84,1
bn_110,41
bn_220,11
bn_211,3
bn_229,7
bn_469,24
bn_648,0
bn_497,13
bn_318,22
bn_396,5
bn_193,1
bn_354,2
bn_114,11
bn_238,26
bn_705,9
bn_458,37
bn_759,20
bn_510,79
bn_200,12
bn_132,27
bn_612,12
bn_492,3
bn_104,4
bn_412,14
bn_802,2
bn_613,17
bn_921,6
bn_808,1
bn_863,20
bn_241,2
bn_763,21
bn_973,17
bn_437,24
bn_946,12
bn_194,2
bn_654,49
bn_544,0
bn_203,80
bn_251,30
bn_136,0
bn_843,16
bn_765,15
bn_474,38
bn_656,0
bn_3,35
bn_420,2
bn_895,20
bn_282,10
bn_442,3
bn_932,10
bn_395,26
bn_197,10
bn_669,21
bn_268,3
bn_907,81
bn_700,48
bn_627,19
bn_36,28
bn_292,6
bn_877,17
bn_97,0
bn_253,11
bn_5,34
bn_745,13
bn_175,82
bn_26,39
bn_536,1
bn_659,49
bn_674,2
bn_534,24
bn_155,30
bn_233,3
bn_487,74
bn_65,35
bn_530,38
bn_992,1
bn_315,15
bn_370,2
bn_284,3
bn_347,30
bn_738,2
bn_309,15
bn_333,8
bn_273,12
bn_250,12
bn_614,11
bn_80,36
bn_275,80
bn_349,15
bn_128,4
bn_582,16
bn_725,19
bn_978,9
bn_214,22
