,attractor_group
bn_411,0
bn_361,0
bn_60,2
bn_109,2
bn_975,0
bn_265,2
bn_784,0
bn_595,1
bn_34,1
bn_624,0
bn_520,0
bn_980,0
bn_529,0
bn_461,0
bn_300,0
bn_985,0
bn_818,0
bn_707,1
bn_421,0
bn_631,0
bn_399,1
bn_152,0
bn_708,1
bn_380,1
bn_108,2
bn_393,1
bn_129,0
bn_314,0
bn_918,0
bn_54,0
bn_179,1
bn_722,0
bn_554,1
bn_213,1
bn_192,1
bn_958,0
bn_676,1
bn_503,1
bn_119,0
bn_521,0
bn_460,0
bn_117,0
bn_934,0
bn_391,0
bn_823,0
bn_872,0
bn_717,1
bn_576,1
bn_811,0
bn_833,0
bn_571,1
bn_454,0
bn_839,0
bn_339,1
bn_161,2
bn_405,0
bn_301,0
bn_928,2
bn_228,0
bn_894,1
bn_432,1
bn_667,1
bn_85,0
bn_476,1
bn_410,0
bn_120,0
bn_773,0
bn_887,0
bn_856,0
bn_158,2
bn_546,1
bn_323,0
bn_962,1
bn_51,0
bn_840,0
bn_542,0
bn_885,0
bn_330,0
bn_849,0
bn_502,1
bn_900,0
bn_892,1
bn_555,1
bn_217,1
bn_316,0
bn_653,1
bn_589,1
bn_701,1
bn_560,1
bn_553,1
bn_508,1
bn_758,1
bn_353,0
bn_212,2
bn_67,0
bn_527,1
bn_914,0
bn_336,0
bn_271,0
bn_154,0
bn_388,1
bn_829,0
bn_105,1
bn_853,0
bn_635,0
bn_869,0
bn_696,0
bn_704,1
bn_39,2
bn_563,1
bn_446,0
bn_311,0
bn_801,0
bn_543,0
bn_436,1
bn_258,2
bn_313,0
bn_779,0
bn_939,0
bn_990,0
bn_174,0
bn_480,2
bn_101,2
bn_198,2
bn_967,0
bn_90,1
bn_898,0
bn_11,1
bn_94,1
bn_587,1
bn_378,1
bn_92,1
bn_545,1
bn_444,0
bn_407,0
bn_294,2
bn_156,1
bn_598,1
bn_96,2
bn_870,0
bn_494,1
bn_769,1
bn_699,0
bn_329,0
bn_195,2
bn_987,0
bn_95,1
bn_425,0
bn_976,0
bn_71,0
bn_718,1
bn_64,0
bn_475,1
bn_977,0
bn_620,1
bn_348,1
bn_804,0
bn_387,0
bn_884,1
bn_498,0
bn_889,0
bn_836,0
bn_523,1
bn_70,0
bn_398,1
bn_512,1
bn_242,1
bn_905,0
bn_677,0
bn_260,2
bn_482,2
bn_72,0
bn_864,0
bn_785,0
bn_593,1
bn_91,1
bn_695,0
bn_578,1
bn_499,0
bn_15,0
bn_20,1
bn_935,0
bn_767,1
bn_202,2
bn_286,0
bn_999,0
bn_815,0
bn_150,1
bn_513,0
bn_139,1
bn_138,1
bn_910,0
bn_204,2
bn_906,0
bn_255,0
bn_383,0
bn_44,0
bn_516,1
bn_989,0
bn_413,0
bn_897,1
bn_173,1
bn_703,1
bn_564,1
bn_896,1
bn_462,1
bn_240,2
bn_440,1
bn_789,0
bn_912,0
bn_113,1
bn_754,1
bn_702,1
bn_723,0
bn_42,0
bn_488,0
bn_18,0
bn_297,0
bn_243,0
bn_235,2
bn_187,0
bn_949,0
bn_690,0
bn_496,1
bn_493,1
bn_270,2
bn_291,2
bn_537,0
bn_403,1
bn_658,1
bn_798,0
bn_55,0
bn_145,1
bn_75,0
bn_619,1
bn_511,1
bn_778,0
bn_289,0
bn_350,0
bn_908,0
bn_249,0
bn_807,0
bn_533,0
bn_77,2
bn_368,1
bn_178,1
bn_254,0
bn_645,1
bn_199,2
bn_434,1
bn_825,0
bn_647,0
bn_298,0
bn_716,1
bn_686,0
bn_850,0
bn_609,1
bn_875,0
bn_917,0
bn_762,1
bn_592,1
bn_966,1
bn_929,0
bn_276,2
bn_168,2
bn_56,1
bn_491,0
bn_17,0
bn_16,0
bn_206,2
bn_886,0
bn_167,2
bn_649,1
bn_295,2
bn_916,0
bn_408,0
bn_651,1
bn_278,2
bn_472,1
bn_787,0
bn_401,0
bn_666,1
bn_49,1
bn_115,0
bn_964,1
bn_923,0
bn_259,2
bn_562,1
bn_599,1
bn_681,0
bn_988,0
bn_515,0
bn_924,0
bn_183,1
bn_290,0
bn_430,0
bn_660,1
bn_991,1
bn_79,2
bn_650,1
bn_737,0
bn_616,1
bn_362,0
bn_893,1
bn_14,0
bn_123,1
bn_873,0
bn_782,1
bn_837,0
bn_524,1
bn_371,1
bn_585,1
bn_981,0
bn_519,1
bn_909,0
bn_816,0
bn_827,0
bn_490,0
bn_87,0
bn_147,1
bn_891,1
bn_466,1
bn_305,0
bn_463,1
bn_797,0
bn_874,0
bn_858,0
bn_776,0
bn_953,0
bn_832,0
bn_851,0
bn_257,0
bn_899,0
bn_372,1
bn_293,2
bn_89,1
bn_404,0
bn_209,2
bn_994,0
bn_93,1
bn_559,1
bn_625,0
bn_812,0
bn_306,0
bn_605,1
bn_780,0
bn_28,0
