,attractor_group
bn_411,0
bn_361,10
bn_60,1
bn_109,2
bn_975,14
bn_265,3
bn_784,7
bn_595,4
bn_34,1
bn_624,7
bn_520,6
bn_980,0
bn_529,11
bn_461,9
bn_300,0
bn_985,2
bn_818,0
bn_707,6
bn_421,9
bn_631,10
bn_399,8
bn_152,3
bn_708,0
bn_380,1
bn_108,5
bn_393,10
bn_129,0
bn_314,7
bn_918,12
bn_54,0
bn_179,0
bn_722,6
bn_554,0
bn_213,2
bn_192,3
bn_958,9
bn_676,0
bn_503,8
bn_119,1
bn_521,11
bn_460,1
bn_117,3
bn_934,12
bn_391,8
bn_823,1
bn_872,2
bn_717,8
bn_576,5
bn_811,6
bn_833,5
bn_571,10
bn_454,2
bn_839,12
bn_339,0
bn_161,0
bn_405,9
bn_301,3
bn_928,7
bn_228,11
bn_894,9
bn_432,6
bn_667,10
bn_85,0
bn_476,1
bn_410,7
bn_120,3
bn_773,2
bn_887,12
bn_856,2
bn_158,1
bn_546,0
bn_323,0
bn_962,4
bn_51,13
bn_840,2
bn_542,2
bn_885,0
bn_330,2
bn_849,5
bn_502,2
bn_900,0
bn_892,8
bn_555,10
bn_217,3
bn_316,1
bn_653,1
bn_589,13
bn_701,3
bn_560,7
bn_553,4
bn_508,1
bn_758,3
bn_353,10
bn_212,5
bn_67,0
bn_527,8
bn_914,4
bn_336,6
bn_271,1
bn_154,15
bn_388,1
bn_829,9
bn_105,10
bn_853,0
bn_635,1
bn_869,0
bn_696,2
bn_704,7
bn_39,3
bn_563,10
bn_446,2
bn_311,2
bn_801,1
bn_543,8
bn_436,1
bn_258,11
bn_313,10
bn_779,3
bn_939,1
bn_990,14
bn_174,1
bn_480,6
bn_101,2
bn_198,1
bn_967,12
bn_90,1
bn_898,4
bn_11,9
bn_94,2
bn_587,1
bn_378,7
bn_92,5
bn_545,10
bn_444,1
bn_407,8
bn_294,5
bn_156,2
bn_598,0
bn_96,4
bn_870,12
bn_494,2
bn_769,12
bn_699,1
bn_329,9
bn_195,10
bn_987,1
bn_95,3
bn_425,11
bn_976,5
bn_71,3
bn_718,9
bn_64,4
bn_475,0
bn_977,5
bn_620,8
bn_348,1
bn_804,9
bn_387,0
bn_884,0
bn_498,7
bn_889,2
bn_836,0
bn_523,0
bn_70,13
bn_398,2
bn_512,6
bn_242,11
bn_905,2
bn_677,0
bn_260,5
bn_482,7
bn_72,4
bn_864,7
bn_785,7
bn_593,4
bn_91,13
bn_695,10
bn_578,5
bn_499,0
bn_15,8
bn_20,10
bn_935,12
bn_767,0
bn_202,13
bn_286,5
bn_999,12
bn_815,0
bn_150,1
bn_513,11
bn_139,11
bn_138,15
bn_910,14
bn_204,2
bn_906,1
bn_255,1
bn_383,8
bn_44,1
bn_516,1
bn_989,3
bn_413,9
bn_897,5
bn_173,5
bn_703,13
bn_564,2
bn_896,5
bn_462,2
bn_240,0
bn_440,6
bn_789,6
bn_912,5
bn_113,11
bn_754,3
bn_702,13
bn_723,6
bn_42,7
bn_488,6
bn_18,5
bn_297,15
bn_243,15
bn_235,2
bn_187,4
bn_949,0
bn_690,4
bn_496,6
bn_493,9
bn_270,4
bn_291,1
bn_537,11
bn_403,0
bn_658,0
bn_798,1
bn_55,3
bn_145,0
bn_75,13
bn_619,1
bn_511,8
bn_778,3
bn_289,15
bn_350,2
bn_908,3
bn_249,3
bn_807,9
bn_533,9
bn_77,0
bn_368,6
bn_178,3
bn_254,4
bn_645,1
bn_199,4
bn_434,7
bn_825,1
bn_647,13
bn_298,4
bn_716,8
bn_686,13
bn_850,4
bn_609,6
bn_875,1
bn_917,0
bn_762,4
bn_592,5
bn_966,12
bn_929,7
bn_276,4
bn_168,3
bn_56,6
bn_491,0
bn_17,1
bn_16,4
bn_206,1
bn_886,12
bn_167,4
bn_649,4
bn_295,2
bn_916,0
bn_408,6
bn_651,10
bn_278,5
bn_472,6
bn_787,6
bn_401,11
bn_666,0
bn_49,10
bn_115,5
bn_964,0
bn_923,1
bn_259,15
bn_562,0
bn_599,10
bn_681,2
bn_988,3
bn_515,0
bn_924,3
bn_183,10
bn_290,4
bn_430,2
bn_660,2
bn_991,14
bn_79,3
bn_650,0
bn_737,5
bn_616,2
bn_362,7
bn_893,8
bn_14,2
bn_123,11
bn_873,2
bn_782,3
bn_837,0
bn_524,1
bn_371,0
bn_585,1
bn_981,0
bn_519,8
bn_909,3
bn_816,12
bn_827,8
bn_490,7
bn_87,3
bn_147,11
bn_891,1
bn_466,7
bn_305,9
bn_463,8
bn_797,2
bn_874,1
bn_858,1
bn_776,2
bn_953,2
bn_832,5
bn_851,4
bn_257,3
bn_899,4
bn_372,1
bn_293,3
bn_89,10
bn_404,1
bn_209,0
bn_994,6
bn_93,0
bn_559,13
bn_625,6
bn_812,7
bn_306,8
bn_605,13
bn_780,14
bn_28,7
bn_810,6
bn_248,0
bn_501,9
bn_684,3
bn_859,1
bn_793,12
bn_878,9
bn_48,4
bn_691,4
bn_374,2
bn_665,6
bn_541,9
bn_441,11
bn_384,6
bn_867,6
bn_662,8
bn_518,2
bn_761,5
bn_103,1
bn_288,11
bn_951,12
bn_82,10
bn_792,12
bn_652,2
bn_304,10
bn_841,2
bn_694,10
bn_427,0
bn_360,6
bn_210,11
bn_31,8
bn_185,5
bn_419,0
bn_400,6
bn_526,2
bn_720,7
bn_913,5
bn_149,5
bn_965,0
bn_269,2
bn_345,9
bn_30,2
bn_414,2
bn_478,2
bn_963,4
bn_715,1
bn_303,2
bn_321,10
bn_245,2
bn_640,5
bn_760,5
bn_697,2
bn_791,0
bn_479,8
bn_740,5
bn_727,10
bn_756,14
bn_504,6
bn_46,9
bn_52,5
bn_663,9
bn_509,9
bn_191,4
bn_234,5
bn_730,1
bn_151,4
bn_141,5
bn_486,2
bn_819,12
bn_207,4
bn_328,1
bn_633,1
bn_842,1
bn_216,0
bn_721,7
bn_594,5
bn_218,11
bn_477,9
bn_569,6
bn_99,5
bn_517,9
bn_443,0
bn_471,8
bn_860,3
bn_926,14
bn_993,7
bn_189,5
bn_904,2
bn_230,4
bn_137,0
bn_495,8
bn_881,7
bn_689,5
bn_626,7
bn_600,2
bn_634,2
bn_772,2
bn_451,0
bn_638,8
bn_551,13
bn_148,2
bn_643,10
bn_417,11
bn_264,0
bn_470,2
bn_363,0
bn_98,0
bn_539,0
bn_719,9
bn_485,9
bn_712,2
bn_586,2
bn_157,5
bn_750,1
bn_835,4
bn_739,4
bn_222,4
bn_809,7
bn_568,7
bn_45,2
bn_386,7
bn_945,7
bn_733,8
bn_215,1
bn_130,15
bn_481,11
bn_601,1
bn_845,3
bn_219,15
bn_678,10
bn_655,13
bn_379,0
bn_159,4
bn_6,13
bn_950,12
bn_982,12
bn_820,2
bn_783,14
bn_692,0
bn_753,1
bn_646,3
bn_416,6
bn_606,3
bn_409,11
bn_252,5
bn_29,0
bn_68,1
bn_817,12
bn_996,0
bn_693,0
bn_890,1
bn_176,3
bn_69,2
bn_337,10
bn_352,6
bn_741,4
