,attractor_group
bn_411,119
bn_361,309
bn_60,558
bn_109,285
bn_975,10
bn_265,557
bn_784,118
bn_595,117
bn_34,556
bn_624,9
bn_520,116
bn_980,115
bn_529,65
bn_461,113
bn_300,112
bn_985,111
bn_818,5
bn_707,110
bn_421,71
bn_631,325
bn_399,12
bn_152,198
bn_708,199
bn_380,200
bn_108,3
bn_393,201
bn_129,326
bn_314,202
bn_918,203
bn_54,327
bn_179,12
bn_722,47
bn_554,204
bn_213,205
bn_192,46
bn_958,80
bn_676,79
bn_503,78
bn_119,77
bn_521,321
bn_460,322
bn_117,76
bn_934,66
bn_391,83
bn_823,68
bn_872,199
bn_717,4
bn_576,40
bn_811,117
bn_833,323
bn_571,69
bn_454,70
bn_839,324
bn_339,74
bn_161,530
bn_405,531
bn_301,532
bn_928,38
bn_228,114
bn_894,257
bn_432,9
bn_667,55
bn_85,274
bn_476,259
bn_410,56
bn_120,260
bn_773,261
bn_887,533
bn_856,262
bn_158,263
bn_546,518
bn_323,103
bn_962,148
bn_51,41
bn_840,266
bn_542,519
bn_885,267
bn_330,33
bn_849,268
bn_502,520
bn_900,269
bn_892,200
bn_555,270
bn_217,31
bn_316,271
bn_653,97
bn_589,44
bn_701,99
bn_560,514
bn_553,98
bn_508,106
bn_758,60
bn_353,96
bn_212,56
bn_67,62
bn_527,95
bn_914,515
bn_336,516
bn_271,94
bn_154,93
bn_388,269
bn_829,92
bn_105,70
bn_853,123
bn_635,517
bn_869,273
bn_696,494
bn_704,46
bn_39,495
bn_563,54
bn_446,80
bn_311,127
bn_801,20
bn_543,496
bn_436,21
bn_258,126
bn_313,497
bn_779,498
bn_939,49
bn_990,24
bn_174,135
bn_480,124
bn_101,134
bn_198,499
bn_967,175
bn_90,16
bn_898,143
bn_11,464
bn_94,18
bn_587,6
bn_378,212
bn_92,249
bn_545,465
bn_444,466
bn_407,41
bn_294,25
bn_156,467
bn_598,468
bn_96,38
bn_870,22
bn_494,210
bn_769,469
bn_699,52
bn_329,146
bn_195,110
bn_987,145
bn_95,144
bn_425,133
bn_976,142
bn_71,141
bn_718,452
bn_64,140
bn_475,139
bn_977,453
bn_620,3
bn_348,249
bn_804,17
bn_387,454
bn_884,455
bn_498,58
bn_889,4
bn_836,138
bn_523,449
bn_70,5
bn_398,153
bn_512,152
bn_242,151
bn_905,201
bn_677,150
bn_260,149
bn_482,157
bn_72,90
bn_864,450
bn_785,46
bn_593,89
bn_91,88
bn_695,87
bn_578,39
bn_499,77
bn_15,86
bn_20,85
bn_935,451
bn_767,173
bn_202,14
bn_286,114
bn_999,434
bn_815,435
bn_150,45
bn_513,436
bn_139,133
bn_138,48
bn_910,153
bn_204,172
bn_906,437
bn_255,173
bn_383,171
bn_44,170
bn_516,169
