,attractor_group
bn_411,492
bn_361,227
bn_60,16
bn_109,5
bn_975,200
bn_265,17
bn_784,18
bn_595,19
bn_34,21
bn_624,20
bn_520,333
bn_980,332
bn_529,239
bn_461,22
bn_300,23
bn_985,15
bn_818,230
bn_707,61
bn_421,51
bn_631,52
bn_399,53
bn_152,54
bn_708,55
bn_380,79
bn_108,0
bn_393,78
bn_129,50
bn_314,57
bn_918,49
bn_54,0
bn_179,465
bn_722,466
bn_554,48
bn_213,384
bn_192,2
bn_958,396
bn_676,13
bn_503,72
bn_119,0
bn_521,321
bn_460,73
bn_117,1
bn_934,58
bn_391,53
bn_823,440
bn_872,481
bn_717,482
bn_576,483
bn_811,484
bn_833,59
bn_571,485
bn_454,406
bn_839,35
bn_339,36
bn_161,388
bn_405,407
bn_301,3
bn_928,37
bn_228,390
bn_894,391
bn_432,38
bn_667,12
bn_85,39
bn_476,41
bn_410,392
bn_120,54
bn_773,42
bn_887,393
bn_856,91
bn_158,298
bn_546,90
bn_323,17
bn_962,299
bn_51,0
bn_840,89
bn_542,48
bn_885,518
bn_330,408
bn_849,88
bn_502,87
bn_900,398
bn_892,367
bn_555,86
bn_217,69
bn_316,23
bn_653,196
bn_589,68
bn_701,67
bn_560,366
bn_553,117
bn_508,118
bn_758,85
bn_353,112
bn_212,334
bn_67,113
bn_527,346
bn_914,49
bn_336,114
bn_271,284
bn_154,83
bn_388,80
bn_829,81
bn_105,285
bn_853,88
bn_635,286
bn_869,82
bn_696,55
bn_704,140
bn_39,307
bn_563,347
bn_446,348
bn_311,6
bn_801,349
bn_543,86
bn_436,139
bn_258,3
bn_313,7
bn_779,138
bn_939,119
bn_990,9
bn_174,350
bn_480,351
bn_101,352
bn_198,137
bn_967,353
bn_90,99
bn_898,416
bn_11,320
bn_94,100
bn_587,19
bn_378,101
bn_92,102
bn_545,103
bn_444,447
bn_407,448
bn_294,318
bn_156,104
bn_598,105
bn_96,106
bn_870,107
bn_494,450
bn_769,42
bn_699,108
bn_329,268
bn_195,3
bn_987,12
bn_95,135
bn_425,134
