,attractor_group
bn_411,57
bn_361,9
bn_60,58
bn_109,116
bn_975,94
bn_265,133
bn_784,14
bn_595,115
bn_34,22
bn_624,93
bn_520,228
bn_980,134
bn_529,60
bn_461,135
bn_300,229
bn_985,224
bn_818,1
bn_707,1
bn_421,34
bn_631,108
bn_399,85
bn_152,187
bn_708,122
bn_380,32
bn_108,24
bn_393,2
bn_129,1
bn_314,57
bn_918,25
bn_54,30
bn_179,103
bn_722,8
bn_554,50
bn_213,35
bn_192,4
bn_958,92
bn_676,44
bn_503,30
bn_119,29
bn_521,159
bn_460,265
bn_117,25
bn_934,31
bn_391,75
bn_823,90
bn_872,264
bn_717,158
bn_576,89
bn_811,74
bn_833,20
bn_571,73
bn_454,26
bn_839,43
bn_339,54
bn_161,232
bn_405,11
bn_301,175
bn_928,6
bn_228,44
bn_894,109
bn_432,52
bn_667,51
bn_85,20
bn_476,239
bn_410,149
bn_120,110
bn_773,15
bn_887,27
bn_856,18
bn_158,238
bn_546,3
bn_323,33
bn_962,5
bn_51,28
bn_840,2
bn_542,45
bn_885,48
bn_330,53
bn_849,163
bn_502,30
bn_900,73
bn_892,251
bn_555,50
bn_217,164
bn_316,252
bn_653,165
bn_589,166
bn_701,167
bn_560,27
bn_553,174
bn_508,244
bn_758,18
bn_353,173
bn_212,35
bn_67,19
bn_527,81
bn_914,21
bn_336,14
bn_271,63
bn_154,197
bn_388,82
bn_829,8
bn_105,5
bn_853,11
bn_635,80
bn_869,34
bn_696,198
bn_704,1
bn_39,79
bn_563,65
bn_446,66
bn_311,18
bn_801,129
bn_543,45
bn_436,48
bn_258,1
bn_313,149
bn_779,78
bn_939,131
bn_990,99
bn_174,231
bn_480,6
bn_101,112
bn_198,15
bn_967,28
bn_90,9
bn_898,7
bn_11,95
bn_94,68
bn_587,79
bn_378,63
bn_92,11
bn_545,3
bn_444,207
bn_407,97
bn_294,17
bn_156,206
bn_598,138
bn_96,3
bn_870,13
bn_494,64
bn_769,4
bn_699,74
bn_329,139
bn_195,4
bn_987,106
bn_95,39
bn_425,128
bn_976,60
bn_71,17
bn_718,36
bn_64,4
bn_475,79
bn_977,60
bn_620,28
bn_348,12
bn_804,37
bn_387,82
bn_884,48
bn_498,24
bn_889,220
bn_836,59
bn_523,93
bn_70,2
bn_398,137
bn_512,5
bn_242,16
bn_905,221
bn_677,44
bn_260,122
bn_482,6
bn_72,88
bn_864,3
bn_785,14
bn_593,6
bn_91,67
bn_695,9
bn_578,58
bn_499,24
bn_15,63
bn_20,14
bn_935,31
bn_767,39
bn_202,222
bn_286,75
bn_999,113
bn_815,67
bn_150,9
bn_513,5
bn_139,223
bn_138,208
bn_910,114
bn_204,202
bn_906,203
bn_255,62
bn_383,96
bn_44,24
bn_516,143
bn_989,201
bn_413,142
bn_897,7
bn_173,23
bn_703,67
bn_564,65
bn_896,7
bn_462,58
bn_240,37
bn_440,200
bn_789,141
bn_912,69
bn_113,31
bn_754,11
bn_702,67
bn_723,8
bn_42,98
bn_488,204
bn_18,54
bn_297,137
bn_243,16
bn_235,95
bn_187,205
bn_949,104
bn_690,16
bn_496,61
bn_493,120
bn_270,63
bn_291,2
bn_537,140
bn_403,77
bn_658,10
bn_798,130
bn_55,29
bn_145,16
bn_75,100
bn_619,105
bn_511,70
bn_778,78
bn_289,2
bn_350,132
bn_908,196
bn_249,119
bn_807,41
bn_533,108
bn_77,46
bn_368,1
bn_178,194
bn_254,62
bn_645,33
bn_199,15
bn_434,22
bn_825,158
bn_647,15
bn_298,199
bn_716,195
bn_686,46
bn_850,42
bn_609,30
bn_875,113
bn_917,47
bn_762,68
bn_592,6
bn_966,28
bn_929,6
bn_276,118
bn_168,6
bn_56,50
bn_491,98
bn_17,10
bn_16,77
bn_206,53
bn_886,27
bn_167,193
bn_649,117
bn_295,17
bn_916,47
bn_408,18
bn_651,88
bn_278,20
bn_472,255
bn_787,51
bn_401,175
bn_666,51
bn_49,31
bn_115,28
bn_964,143
bn_923,107
bn_259,1
bn_562,160
bn_599,98
bn_681,130
bn_988,250
bn_515,5
bn_924,235
bn_183,94
bn_290,2
bn_430,50
bn_660,35
bn_991,99
bn_79,42
bn_650,248
bn_737,2
bn_616,5
bn_362,119
bn_893,249
bn_14,83
bn_123,92
bn_873,162
bn_782,10
bn_837,161
bn_524,253
bn_371,101
bn_585,25
bn_981,108
bn_519,28
bn_909,254
bn_816,1
bn_827,36
bn_490,245
bn_87,43
bn_147,11
bn_891,112
bn_466,21
bn_305,38
bn_463,58
bn_797,12
bn_874,246
bn_858,172
bn_776,88
bn_953,247
bn_832,20
bn_851,42
bn_257,1
bn_899,7
bn_372,19
bn_293,91
bn_89,74
bn_404,38
bn_209,40
bn_994,3
bn_93,18
bn_559,48
bn_625,168
bn_812,74
bn_306,11
bn_605,24
bn_780,40
bn_28,11
bn_810,169
bn_248,234
bn_501,104
bn_684,243
bn_859,68
bn_793,0
bn_878,110
bn_48,13
bn_691,16
bn_374,133
bn_665,171
bn_541,170
bn_441,160
bn_384,20
bn_867,3
bn_662,14
bn_518,28
bn_761,172
bn_103,107
bn_288,2
bn_951,30
bn_82,8
bn_792,0
bn_652,233
bn_304,38
bn_841,2
bn_694,9
bn_427,87
bn_360,9
bn_210,10
bn_31,72
bn_185,266
bn_419,3
bn_400,85
bn_526,81
bn_720,32
bn_913,69
bn_149,237
bn_965,105
bn_269,150
bn_345,0
bn_30,57
bn_414,72
bn_478,71
bn_963,5
bn_715,90
bn_303,77
bn_321,4
bn_245,41
bn_640,4
bn_760,236
bn_697,169
bn_791,76
bn_479,71
bn_740,151
bn_727,20
bn_756,156
bn_504,267
bn_46,23
bn_52,27
bn_663,14
bn_509,157
bn_191,99
bn_234,268
bn_730,59
bn_151,242
bn_141,241
bn_486,31
bn_819,101
bn_207,53
bn_328,102
bn_633,29
bn_842,2
bn_216,240
bn_721,32
bn_594,6
bn_218,54
bn_477,166
bn_569,7
bn_99,21
bn_517,105
bn_443,65
bn_471,25
bn_860,68
bn_926,111
bn_993,3
bn_189,260
bn_904,261
bn_230,12
bn_137,8
bn_495,64
bn_881,52
bn_689,37
bn_626,81
bn_600,98
bn_634,140
bn_772,15
bn_451,7
bn_638,45
bn_551,87
bn_148,12
bn_643,4
bn_417,3
bn_264,262
bn_470,25
bn_363,49
bn_98,22
bn_539,80
bn_719,36
bn_485,115
bn_712,263
bn_586,152
bn_157,42
bn_750,42
bn_835,59
bn_739,2
bn_222,55
bn_809,9
bn_568,7
bn_45,56
bn_386,153
bn_945,61
bn_733,161
bn_215,14
bn_130,15
bn_481,6
bn_601,120
bn_845,17
bn_219,54
bn_678,12
bn_655,78
bn_379,63
bn_159,39
bn_6,12
bn_950,30
bn_982,29
bn_820,19
bn_783,35
bn_692,41
bn_753,38
bn_646,15
bn_416,3
bn_606,24
bn_409,18
bn_252,259
bn_29,18
bn_68,0
bn_817,1
bn_996,13
bn_693,41
bn_890,112
bn_176,13
bn_69,12
bn_337,14
bn_352,95
bn_741,91
bn_356,37
bn_326,154
bn_429,174
bn_713,155
bn_675,0
bn_448,7
bn_590,71
bn_62,81
bn_377,150
bn_847,100
bn_274,8
bn_312,258
bn_59,70
bn_960,5
bn_334,10
bn_135,36
bn_630,23
bn_711,19
bn_752,38
bn_296,257
bn_940,256
bn_997,13
bn_986,106
bn_262,19
bn_32,3
bn_373,19
bn_522,283
bn_959,92
bn_153,271
bn_735,43
bn_724,118
bn_535,29
bn_610,144
bn_796,12
bn_931,6
bn_43,93
bn_757,97
bn_331,53
bn_668,284
bn_106,131
bn_50,26
bn_636,80
bn_794,0
bn_611,56
bn_865,3
bn_116,27
bn_131,285
bn_38,89
bn_602,64
bn_285,145
bn_671,76
bn_505,144
bn_710,19
bn_364,49
bn_381,8
bn_682,286
bn_13,53
bn_570,7
bn_322,4
bn_428,287
bn_84,14
bn_110,23
bn_220,270
bn_211,10
bn_229,44
bn_469,47
bn_648,269
bn_497,61
bn_318,72
bn_396,17
bn_193,4
bn_354,83
bn_114,26
bn_238,83
bn_705,1
bn_458,282
bn_759,18
bn_510,70
bn_200,276
bn_132,275
bn_612,56
bn_492,274
bn_104,6
bn_412,57
bn_802,46
bn_613,157
bn_921,273
bn_808,9
bn_863,39
bn_241,37
bn_763,68
bn_973,272
bn_437,48
bn_946,24
bn_194,4
bn_654,78
bn_544,3
bn_203,102
bn_251,49
bn_136,10
bn_843,91
bn_765,126
bn_474,79
bn_656,40
bn_3,15
bn_420,34
bn_895,109
bn_282,82
bn_442,65
bn_932,146
bn_395,91
bn_197,33
bn_669,141
bn_268,277
bn_907,125
bn_700,279
bn_627,81
bn_36,87
bn_292,151
bn_877,278
bn_97,7
bn_253,147
bn_5,0
bn_745,148
bn_175,280
bn_26,9
bn_536,281
bn_659,10
bn_674,0
bn_534,29
bn_155,293
bn_233,132
bn_487,31
bn_65,1
bn_530,23
bn_992,3
bn_315,57
bn_370,1
bn_284,292
bn_347,44
bn_738,2
bn_309,97
bn_333,10
bn_273,32
bn_250,49
bn_614,70
bn_80,10
bn_275,8
bn_349,12
bn_128,4
bn_582,21
bn_725,96
bn_978,23
bn_214,14
bn_58,66
bn_40,6
bn_338,164
bn_736,2
bn_201,154
bn_358,16
bn_806,16
bn_972,291
bn_112,13
bn_979,23
bn_324,15
bn_447,66
bn_180,26
bn_33,7
bn_814,67
bn_822,155
bn_244,41
bn_749,163
bn_239,83
bn_936,290
bn_746,289
bn_952,288
bn_538,80
bn_456,295
bn_310,18
bn_664,299
bn_164,22
bn_632,29
bn_608,30
bn_942,103
bn_920,294
bn_223,55
bn_596,31
bn_484,146
bn_319,72
bn_63,45
bn_365,147
bn_938,300
bn_406,11
bn_565,127
bn_143,43
bn_957,301
bn_415,72
bn_397,17
bn_8,17
bn_786,171
bn_19,82
bn_795,44
bn_88,16
bn_925,302
bn_1,1
bn_868,34
bn_57,64
bn_561,27
bn_41,5
bn_160,3
bn_140,14
bn_557,22
bn_774,117
bn_181,303
bn_683,86
bn_188,296
bn_983,29
bn_766,39
bn_604,61
bn_133,297
bn_134,298
bn_280,183
bn_866,3
bn_392,2
bn_956,184
bn_597,31
bn_558,22
bn_424,185
bn_346,0
bn_127,99
bn_944,61
bn_27,62
bn_279,20
bn_236,186
bn_948,121
bn_888,180
bn_607,104
bn_76,78
bn_22,55
bn_657,40
bn_628,60
bn_344,0
bn_954,116
bn_922,107
bn_247,9
bn_771,33
bn_12,85
bn_24,16
bn_171,181
bn_552,87
bn_226,0
bn_186,25
bn_857,18
bn_86,76
bn_621,28
bn_489,138
bn_375,84
bn_172,5
bn_732,182
bn_528,60
bn_340,54
bn_277,96
bn_828,32
bn_943,103
bn_351,95
