,attractor_group
bn_411,2
bn_361,3
bn_60,4
bn_109,5
bn_975,6
bn_265,7
bn_784,968
bn_595,23
bn_34,0
bn_624,969
bn_520,970
bn_980,971
bn_529,972
bn_461,973
bn_300,974
bn_985,975
bn_818,976
bn_707,977
bn_421,978
bn_631,979
bn_399,980
bn_152,981
bn_708,982
bn_380,983
bn_108,24
bn_393,25
bn_129,26
bn_314,27
bn_918,28
bn_54,29
bn_179,30
bn_722,31
bn_554,32
bn_213,33
bn_192,34
bn_958,35
bn_676,36
bn_503,37
bn_119,38
bn_521,39
bn_460,40
bn_117,41
bn_934,42
bn_391,43
bn_823,44
bn_872,45
bn_717,46
bn_576,47
bn_811,48
bn_833,49
bn_571,50
bn_454,51
bn_839,52
bn_339,53
bn_161,54
bn_405,55
bn_301,56
bn_928,57
bn_228,58
bn_894,59
bn_432,60
bn_667,61
bn_85,62
bn_476,63
bn_410,64
bn_120,65
bn_773,66
bn_887,67
bn_856,68
bn_158,69
bn_546,70
bn_323,71
bn_962,72
bn_51,73
bn_840,74
bn_542,75
bn_885,76
bn_330,77
bn_849,78
bn_502,79
bn_900,80
bn_892,81
bn_555,82
bn_217,83
bn_316,84
bn_653,85
bn_589,86
bn_701,87
bn_560,88
bn_553,89
bn_508,90
bn_758,91
bn_353,92
bn_212,93
bn_67,94
bn_527,95
bn_914,96
bn_336,97
bn_271,98
bn_154,99
bn_388,100
bn_829,101
bn_105,102
bn_853,103
bn_635,104
bn_869,105
bn_696,106
bn_704,107
bn_39,108
bn_563,109
bn_446,110
bn_311,111
bn_801,112
bn_543,113
bn_436,114
bn_258,115
bn_313,116
bn_779,117
bn_939,118
bn_990,119
bn_174,120
bn_480,121
bn_101,122
bn_198,123
bn_967,124
bn_90,125
bn_898,126
bn_11,127
bn_94,128
bn_587,129
bn_378,130
bn_92,131
bn_545,132
bn_444,133
bn_407,134
bn_294,135
bn_156,136
bn_598,137
bn_96,138
bn_870,139
bn_494,140
bn_769,141
bn_699,142
bn_329,143
bn_195,144
bn_987,145
bn_95,146
bn_425,147
bn_976,148
bn_71,149
bn_718,150
bn_64,151
bn_475,152
bn_977,153
bn_620,154
bn_348,155
bn_804,156
bn_387,157
bn_884,158
bn_498,159
bn_889,160
bn_836,161
bn_523,162
bn_70,163
bn_398,164
bn_512,165
bn_242,166
bn_905,167
bn_677,168
bn_260,169
bn_482,170
bn_72,171
bn_864,172
bn_785,173
bn_593,174
bn_91,175
bn_695,176
bn_578,177
bn_499,178
bn_15,179
bn_20,180
bn_935,181
bn_767,182
bn_202,183
bn_286,184
bn_999,185
bn_815,186
bn_150,187
bn_513,188
bn_139,189
bn_138,190
bn_910,191
bn_204,192
bn_906,193
bn_255,194
bn_383,195
bn_44,196
bn_516,197
bn_989,198
bn_413,199
bn_897,200
bn_173,201
bn_703,202
bn_564,203
bn_896,204
bn_462,205
bn_240,206
bn_440,207
bn_789,208
bn_912,209
bn_113,210
bn_754,211
bn_702,212
bn_723,213
bn_42,214
bn_488,215
bn_18,216
bn_297,217
bn_243,218
bn_235,219
bn_187,220
bn_949,221
bn_690,222
bn_496,223
bn_493,224
bn_270,225
bn_291,226
bn_537,227
bn_403,228
bn_658,229
bn_798,230
bn_55,231
bn_145,232
bn_75,233
bn_619,234
bn_511,235
bn_778,236
bn_289,237
bn_350,238
bn_908,239
bn_249,240
bn_807,241
bn_533,242
bn_77,243
bn_368,244
bn_178,245
bn_254,246
bn_645,247
bn_199,248
bn_434,249
bn_825,250
bn_647,251
bn_298,252
bn_716,253
bn_686,254
bn_850,255
bn_609,256
bn_875,257
bn_917,258
bn_762,259
bn_592,260
bn_966,261
bn_929,262
bn_276,263
bn_168,264
bn_56,265
bn_491,266
bn_17,267
bn_16,268
bn_206,269
bn_886,270
bn_167,271
bn_649,272
bn_295,273
bn_916,274
bn_408,275
bn_651,276
bn_278,277
bn_472,278
bn_787,279
bn_401,280
bn_666,281
bn_49,282
bn_115,283
bn_964,284
bn_923,285
bn_259,286
bn_562,287
bn_599,288
bn_681,289
bn_988,290
bn_515,291
bn_924,292
bn_183,293
bn_290,294
bn_430,295
bn_660,296
bn_991,297
bn_79,298
bn_650,299
bn_737,300
bn_616,301
bn_362,302
bn_893,303
bn_14,304
bn_123,305
bn_873,306
bn_782,307
bn_837,308
bn_524,309
bn_371,310
bn_585,311
bn_981,312
bn_519,313
bn_909,314
bn_816,315
bn_827,316
bn_490,317
bn_87,318
bn_147,319
bn_891,320
bn_466,321
bn_305,322
bn_463,323
bn_797,324
bn_874,325
bn_858,326
bn_776,327
bn_953,328
bn_832,329
bn_851,330
bn_257,331
bn_899,332
bn_372,333
bn_293,334
bn_89,335
bn_404,336
bn_209,337
bn_994,338
bn_93,339
bn_559,340
bn_625,341
bn_812,342
bn_306,343
bn_605,344
bn_780,345
bn_28,346
bn_810,347
bn_248,348
bn_501,349
bn_684,350
bn_859,351
bn_793,352
bn_878,353
bn_48,354
bn_691,355
bn_374,356
bn_665,357
bn_541,358
bn_441,359
bn_384,360
bn_867,361
bn_662,362
bn_518,363
bn_761,364
bn_103,365
bn_288,366
bn_951,367
bn_82,368
bn_792,369
bn_652,370
bn_304,371
bn_841,372
