,attractor_group
bn_411,0
bn_361,0
bn_60,0
bn_109,1
bn_975,1
bn_265,0
bn_784,2
bn_595,3
bn_34,0
bn_624,2
bn_520,0
bn_980,3
bn_529,0
bn_461,0
bn_300,0
bn_985,1
bn_818,1
bn_707,1
bn_421,1
bn_631,0
bn_399,2
bn_152,0
bn_708,3
bn_380,0
bn_108,1
bn_393,0
bn_129,1
bn_314,1
bn_918,0
bn_54,0
bn_179,0
bn_722,1
bn_554,3
bn_213,0
bn_192,0
bn_958,1
bn_676,1
bn_503,3
bn_119,2
bn_521,1
bn_460,1
bn_117,0
bn_934,0
bn_391,2
bn_823,0
bn_872,2
bn_717,0
bn_576,3
bn_811,0
bn_833,0
bn_571,1
bn_454,0
bn_839,0
bn_339,0
bn_161,2
bn_405,0
bn_301,0
bn_928,0
bn_228,0
bn_894,2
bn_432,3
bn_667,1
bn_85,1
bn_476,0
bn_410,0
bn_120,1
bn_773,0
bn_887,0
bn_856,2
bn_158,0
bn_546,1
bn_323,1
bn_962,1
bn_51,0
bn_840,2
bn_542,1
bn_885,0
bn_330,0
bn_849,0
bn_502,1
bn_900,0
bn_892,2
bn_555,1
bn_217,2
bn_316,3
bn_653,1
bn_589,1
bn_701,0
bn_560,3
bn_553,1
bn_508,1
bn_758,0
bn_353,0
bn_212,0
bn_67,0
bn_527,3
bn_914,2
bn_336,0
bn_271,3
bn_154,0
bn_388,0
bn_829,1
bn_105,0
bn_853,0
bn_635,0
bn_869,0
bn_696,1
bn_704,2
bn_39,0
bn_563,1
bn_446,0
bn_311,3
bn_801,1
bn_543,1
bn_436,3
bn_258,1
bn_313,1
bn_779,0
bn_939,0
bn_990,1
bn_174,0
bn_480,0
bn_101,2
bn_198,0
bn_967,1
bn_90,1
bn_898,0
bn_11,2
bn_94,1
bn_587,3
bn_378,0
bn_92,1
bn_545,1
bn_444,1
bn_407,2
bn_294,1
bn_156,0
bn_598,0
bn_96,1
bn_870,0
bn_494,1
bn_769,1
bn_699,3
bn_329,2
bn_195,2
bn_987,1
bn_95,0
bn_425,1
bn_976,3
bn_71,0
bn_718,0
bn_64,0
bn_475,2
bn_977,1
bn_620,2
bn_348,0
bn_804,1
bn_387,0
bn_884,2
bn_498,1
bn_889,0
bn_836,2
bn_523,3
bn_70,4
bn_398,0
bn_512,0
bn_242,1
bn_905,2
bn_677,1
bn_260,1
bn_482,0
bn_72,0
bn_864,2
bn_785,0
bn_593,1
bn_91,0
bn_695,1
bn_578,1
bn_499,3
bn_15,2
bn_20,2
bn_935,0
bn_767,1
bn_202,0
bn_286,1
bn_999,1
bn_815,1
bn_150,1
bn_513,0
bn_139,0
bn_138,0
bn_910,0
bn_204,1
bn_906,0
bn_255,1
bn_383,0
bn_44,0
bn_516,0
bn_989,1
bn_413,0
bn_897,0
bn_173,0
bn_703,0
bn_564,1
bn_896,0
bn_462,0
bn_240,3
bn_440,2
bn_789,0
bn_912,0
bn_113,2
bn_754,0
bn_702,0
bn_723,1
bn_42,0
bn_488,0
bn_18,2
bn_297,0
bn_243,0
bn_235,1
bn_187,2
bn_949,2
bn_690,1
bn_496,1
bn_493,1
bn_270,1
bn_291,1
bn_537,1
bn_403,2
bn_658,0
bn_798,1
bn_55,0
bn_145,1
bn_75,0
bn_619,0
bn_511,2
bn_778,0
bn_289,3
bn_350,0
bn_908,0
bn_249,0
bn_807,3
bn_533,0
bn_77,1
bn_368,0
bn_178,0
bn_254,1
bn_645,1
bn_199,2
bn_434,1
bn_825,1
bn_647,1
bn_298,0
bn_716,3
bn_686,0
bn_850,0
bn_609,0
bn_875,0
bn_917,2
bn_762,1
bn_592,1
bn_966,1
bn_929,0
bn_276,1
bn_168,0
bn_56,0
bn_491,3
bn_17,2
bn_16,2
bn_206,2
bn_886,0
bn_167,1
bn_649,1
bn_295,1
bn_916,2
bn_408,0
bn_651,1
bn_278,1
bn_472,0
bn_787,0
bn_401,0
bn_666,1
bn_49,0
bn_115,1
bn_964,1
bn_923,0
bn_259,3
bn_562,1
bn_599,0
bn_681,1
bn_988,3
bn_515,2
bn_924,0
bn_183,2
bn_290,3
bn_430,1
bn_660,2
bn_991,1
bn_79,3
bn_650,1
bn_737,0
bn_616,2
bn_362,0
bn_893,2
bn_14,2
bn_123,1
bn_873,0
bn_782,0
bn_837,0
bn_524,1
bn_371,0
bn_585,1
bn_981,1
bn_519,2
bn_909,2
bn_816,3
bn_827,1
bn_490,1
bn_87,1
bn_147,1
bn_891,0
bn_466,1
bn_305,2
bn_463,2
bn_797,1
bn_874,0
bn_858,0
bn_776,2
bn_953,3
bn_832,3
bn_851,0
bn_257,1
bn_899,0
bn_372,0
bn_293,1
bn_89,1
bn_404,0
bn_209,0
bn_994,1
bn_93,0
bn_559,3
bn_625,0
bn_812,2
bn_306,2
bn_605,0
bn_780,2
bn_28,0
