,attractor_group
Invasion_532,2
Invasion_879,0
Invasion_718,63
Invasion_988,0
Invasion_895,0
Invasion_855,0
Invasion_115,1
Invasion_263,1
Invasion_210,1
Invasion_581,1
Invasion_498,0
Invasion_387,64
Invasion_821,0
Invasion_657,0
Invasion_1002,0
Invasion_376,0
Invasion_60,32
Invasion_619,0
Invasion_19,30
Invasion_248,14
Invasion_702,0
Invasion_75,15
Invasion_171,0
Invasion_315,1
Invasion_882,0
Invasion_174,1
Invasion_885,0
Invasion_585,1
Invasion_550,0
Invasion_101,16
Invasion_662,0
Invasion_549,0
Invasion_191,31
Invasion_889,0
Invasion_837,0
Invasion_155,2
Invasion_33,1
Invasion_664,0
Invasion_795,0
Invasion_560,0
Invasion_136,2
Invasion_968,0
Invasion_361,0
Invasion_719,0
Invasion_689,0
Invasion_378,0
Invasion_721,0
Invasion_697,0
Invasion_891,0
Invasion_150,11
Invasion_893,0
Invasion_185,1
Invasion_748,0
Invasion_383,0
Invasion_330,2
Invasion_852,0
Invasion_588,0
Invasion_683,0
Invasion_783,0
Invasion_767,0
Invasion_815,0
Invasion_680,0
Invasion_29,29
Invasion_807,0
Invasion_286,2
Invasion_442,3
Invasion_476,1
Invasion_822,0
Invasion_519,2
Invasion_796,0
Invasion_663,0
Invasion_379,0
Invasion_760,0
Invasion_920,0
Invasion_896,0
Invasion_97,19
Invasion_1006,0
Invasion_620,0
Invasion_846,0
Invasion_864,0
Invasion_1020,0
Invasion_125,2
Invasion_818,0
Invasion_380,3
Invasion_399,18
Invasion_576,1
Invasion_814,0
Invasion_914,0
Invasion_866,0
Invasion_244,1
Invasion_876,0
Invasion_671,0
Invasion_668,0
Invasion_521,2
Invasion_261,2
Invasion_90,17
Invasion_858,0
Invasion_996,0
Invasion_95,4
Invasion_829,0
Invasion_1,20
Invasion_219,1
Invasion_621,0
Invasion_416,1
Invasion_124,1
Invasion_466,1
Invasion_208,2
Invasion_743,0
Invasion_443,1
Invasion_199,2
Invasion_832,0
Invasion_556,0
Invasion_764,0
Invasion_995,0
Invasion_787,0
Invasion_173,1
Invasion_692,0
Invasion_461,1
Invasion_236,23
Invasion_25,24
Invasion_942,0
Invasion_346,2
Invasion_604,0
Invasion_946,0
Invasion_603,0
Invasion_586,1
Invasion_396,0
Invasion_647,0
Invasion_245,1
Invasion_290,1
Invasion_280,0
Invasion_70,21
Invasion_514,2
Invasion_540,2
Invasion_181,0
Invasion_644,0
Invasion_170,2
Invasion_936,0
Invasion_854,0
Invasion_474,1
Invasion_704,0
Invasion_179,1
Invasion_500,3
Invasion_234,4
Invasion_940,0
Invasion_505,1
Invasion_595,0
Invasion_583,1
Invasion_63,22
Invasion_292,1
Invasion_438,2
Invasion_834,0
Invasion_667,0
Invasion_414,2
Invasion_553,0
Invasion_688,0
Invasion_720,0
Invasion_235,26
Invasion_573,1
Invasion_658,0
Invasion_614,0
Invasion_537,2
Invasion_856,0
Invasion_947,0
Invasion_94,25
Invasion_589,0
Invasion_1022,0
Invasion_368,0
Invasion_35,1
Invasion_908,0
Invasion_616,0
Invasion_68,10
Invasion_473,1
Invasion_325,27
Invasion_232,6
Invasion_901,0
Invasion_691,0
Invasion_317,28
Invasion_407,0
Invasion_681,0
Invasion_971,0
Invasion_564,0
Invasion_227,1
Invasion_597,0
Invasion_602,0
Invasion_601,0
Invasion_526,2
Invasion_274,1
Invasion_98,36
Invasion_753,0
Invasion_56,1
Invasion_82,4
Invasion_639,0
Invasion_233,1
Invasion_36,10
Invasion_3,1
Invasion_172,2
Invasion_978,0
Invasion_906,0
Invasion_431,2
Invasion_544,2
Invasion_685,0
Invasion_447,1
Invasion_629,0
Invasion_326,1
Invasion_250,1
Invasion_89,35
Invasion_458,2
Invasion_38,34
Invasion_309,1
Invasion_951,0
Invasion_529,2
Invasion_886,0
Invasion_563,0
Invasion_198,2
Invasion_779,0
Invasion_34,33
Invasion_296,1
Invasion_73,40
Invasion_271,2
Invasion_409,39
Invasion_546,0
Invasion_786,0
Invasion_749,0
Invasion_161,1
Invasion_91,5
Invasion_731,0
Invasion_385,0
Invasion_907,0
Invasion_167,48
Invasion_964,0
Invasion_963,0
Invasion_14,37
Invasion_932,0
Invasion_690,0
Invasion_917,0
Invasion_565,0
Invasion_665,38
Invasion_86,0
Invasion_798,0
Invasion_308,1
Invasion_555,0
Invasion_11,1
Invasion_18,4
Invasion_715,0
Invasion_737,0
Invasion_494,1
Invasion_457,1
Invasion_703,0
Invasion_1007,0
Invasion_530,2
Invasion_755,0
Invasion_165,47
Invasion_1011,0
Invasion_627,0
Invasion_924,0
Invasion_677,0
Invasion_921,0
Invasion_493,1
Invasion_322,1
Invasion_241,1
Invasion_129,41
Invasion_983,0
Invasion_959,0
Invasion_531,2
Invasion_654,0
Invasion_935,0
Invasion_143,0
Invasion_773,0
Invasion_85,42
Invasion_133,2
Invasion_373,0
Invasion_705,0
Invasion_401,0
Invasion_871,0
Invasion_631,0
Invasion_511,2
Invasion_331,2
Invasion_92,4
Invasion_463,1
Invasion_706,0
Invasion_278,1
Invasion_306,43
Invasion_809,0
Invasion_359,0
Invasion_168,1
Invasion_797,0
Invasion_769,0
Invasion_350,2
Invasion_411,44
Invasion_187,1
Invasion_811,0
Invasion_469,1
Invasion_977,0
Invasion_888,0
Invasion_812,0
Invasion_751,0
Invasion_781,0
Invasion_203,1
Invasion_883,0
Invasion_122,1
Invasion_358,3
Invasion_842,0
Invasion_687,0
Invasion_961,0
Invasion_734,0
Invasion_223,1
Invasion_1015,0
Invasion_295,1
Invasion_381,0
Invasion_926,0
Invasion_711,0
