,attractor_group
bn_411,6
bn_361,0
bn_60,27
bn_109,5
bn_975,23
bn_265,1
bn_784,2
bn_595,16
bn_34,15
bn_624,1
bn_520,20
bn_980,28
bn_529,4
bn_461,47
bn_300,28
bn_985,17
bn_818,1
bn_707,7
bn_421,5
bn_631,14
bn_399,8
bn_152,34
bn_708,5
bn_380,0
bn_108,3
bn_393,7
bn_129,1
bn_314,5
bn_918,48
bn_54,4
bn_179,0
bn_722,1
bn_554,4
bn_213,40
bn_192,6
bn_958,16
bn_676,5
bn_503,9
bn_119,2
bn_521,5
bn_460,49
bn_117,26
bn_934,1
bn_391,0
bn_823,5
bn_872,19
bn_717,12
bn_576,1
bn_811,10
bn_833,7
bn_571,44
bn_454,24
bn_839,9
bn_339,6
bn_161,1
bn_405,9
bn_301,36
bn_928,15
bn_228,8
bn_894,34
bn_432,50
bn_667,51
bn_85,37
bn_476,52
bn_410,1
bn_120,16
bn_773,0
bn_887,9
bn_856,45
bn_158,17
bn_546,4
bn_323,35
bn_962,0
bn_51,0
bn_840,1
bn_542,27
bn_885,9
bn_330,4
bn_849,10
bn_502,7
bn_900,28
bn_892,0
bn_555,44
bn_217,1
bn_316,21
bn_653,10
bn_589,54
bn_701,2
bn_560,1
bn_553,6
bn_508,0
bn_758,5
bn_353,1
bn_212,8
bn_67,37
bn_527,22
bn_914,54
bn_336,1
bn_271,14
bn_154,29
bn_388,23
bn_829,0
bn_105,27
bn_853,0
bn_635,47
bn_869,23
bn_696,1
bn_704,1
bn_39,1
bn_563,35
bn_446,18
bn_311,9
bn_801,7
bn_543,11
bn_436,53
bn_258,8
bn_313,13
bn_779,7
bn_939,48
bn_990,16
bn_174,17
bn_480,50
bn_101,5
bn_198,9
bn_967,1
bn_90,18
bn_898,29
bn_11,0
bn_94,28
bn_587,39
bn_378,5
bn_92,3
bn_545,6
bn_444,21
bn_407,9
bn_294,24
bn_156,8
bn_598,3
bn_96,26
bn_870,19
bn_494,18
bn_769,1
bn_699,14
bn_329,6
bn_195,0
bn_987,29
bn_95,1
