,attractor_group
bn_411,1
bn_361,0
bn_60,0
bn_109,0
bn_975,1
bn_265,1
bn_784,2
bn_595,1
bn_34,1
bn_624,2
bn_520,0
bn_980,0
bn_529,1
bn_461,1
bn_300,0
bn_985,0
bn_818,0
bn_707,1
bn_421,1
bn_631,1
bn_399,1
bn_152,1
bn_708,1
bn_380,0
bn_108,1
bn_393,1
bn_129,1
bn_314,1
bn_918,1
bn_54,0
bn_179,0
bn_722,0
bn_554,1
bn_213,0
bn_192,1
bn_958,1
bn_676,0
bn_503,0
bn_119,0
bn_521,0
bn_460,1
bn_117,1
bn_934,1
bn_391,1
bn_823,0
bn_872,0
bn_717,0
bn_576,2
bn_811,2
bn_833,0
bn_571,1
bn_454,1
bn_839,0
bn_339,0
bn_161,0
bn_405,1
bn_301,1
bn_928,0
bn_228,1
bn_894,0
bn_432,1
bn_667,0
bn_85,1
bn_476,0
bn_410,1
bn_120,1
bn_773,3
bn_887,2
bn_856,0
bn_158,1
bn_546,2
bn_323,0
bn_962,0
bn_51,1
bn_840,0
bn_542,1
bn_885,2
bn_330,0
bn_849,2
bn_502,0
bn_900,0
bn_892,0
bn_555,0
bn_217,0
bn_316,1
bn_653,0
bn_589,1
bn_701,0
bn_560,1
bn_553,1
bn_508,0
bn_758,5
bn_353,0
bn_212,0
bn_67,0
bn_527,0
bn_914,0
bn_336,0
bn_271,0
bn_154,0
bn_388,0
bn_829,0
bn_105,0
bn_853,2
bn_635,0
bn_869,0
bn_696,3
bn_704,1
bn_39,3
bn_563,0
bn_446,1
bn_311,0
bn_801,2
bn_543,0
bn_436,1
bn_258,3
bn_313,1
bn_779,2
bn_939,0
bn_990,1
bn_174,1
bn_480,0
bn_101,1
bn_198,0
bn_967,1
bn_90,0
bn_898,1
bn_11,0
bn_94,1
bn_587,0
bn_378,0
bn_92,0
bn_545,0
bn_444,1
bn_407,1
bn_294,0
bn_156,1
bn_598,0
bn_96,0
bn_870,0
bn_494,1
bn_769,1
bn_699,2
bn_329,0
bn_195,1
bn_987,0
bn_95,1
bn_425,1
bn_976,1
bn_71,0
bn_718,0
bn_64,1
bn_475,1
bn_977,0
bn_620,1
bn_348,0
bn_804,2
bn_387,0
bn_884,0
bn_498,0
bn_889,0
bn_836,0
bn_523,1
bn_70,1
bn_398,1
bn_512,4
bn_242,1
bn_905,0
bn_677,0
bn_260,3
bn_482,0
bn_72,1
bn_864,0
bn_785,2
bn_593,0
bn_91,1
bn_695,1
bn_578,1
bn_499,0
bn_15,0
bn_20,1
bn_935,1
bn_767,0
bn_202,1
bn_286,1
bn_999,0
bn_815,0
bn_150,1
bn_513,0
bn_139,3
bn_138,1
bn_910,1
bn_204,0
bn_906,0
bn_255,0
bn_383,0
bn_44,0
bn_516,2
bn_989,1
bn_413,1
bn_897,1
bn_173,0
bn_703,1
bn_564,2
bn_896,0
bn_462,1
bn_240,1
bn_440,1
bn_789,2
bn_912,1
bn_113,1
bn_754,2
bn_702,0
bn_723,2
bn_42,0
bn_488,1
bn_18,0
bn_297,1
bn_243,1
bn_235,0
bn_187,0
bn_949,0
bn_690,1
bn_496,4
bn_493,0
bn_270,1
bn_291,0
bn_537,5
bn_403,1
bn_658,1
bn_798,2
bn_55,0
bn_145,0
bn_75,1
bn_619,1
bn_511,4
bn_778,2
bn_289,0
bn_350,0
bn_908,0
bn_249,0
bn_807,2
bn_533,0
bn_77,1
bn_368,0
bn_178,1
bn_254,0
bn_645,0
bn_199,0
bn_434,1
bn_825,0
bn_647,0
bn_298,0
bn_716,1
bn_686,1
bn_850,0
bn_609,0
bn_875,2
bn_917,1
bn_762,1
bn_592,0
bn_966,1
bn_929,0
bn_276,0
bn_168,1
bn_56,1
bn_491,0
bn_17,0
bn_16,1
bn_206,0
bn_886,0
bn_167,0
bn_649,1
bn_295,1
bn_916,0
bn_408,1
bn_651,0
bn_278,0
bn_472,1
bn_787,2
bn_401,1
bn_666,0
bn_49,1
bn_115,0
bn_964,1
bn_923,1
bn_259,1
bn_562,0
bn_599,0
bn_681,2
bn_988,1
bn_515,0
bn_924,1
bn_183,0
bn_290,1
bn_430,1
bn_660,1
bn_991,0
bn_79,1
bn_650,2
bn_737,1
bn_616,0
bn_362,0
bn_893,2
bn_14,4
bn_123,0
bn_873,2
bn_782,2
bn_837,0
bn_524,1
bn_371,0
bn_585,0
bn_981,1
bn_519,0
bn_909,1
bn_816,0
bn_827,0
bn_490,1
bn_87,0
bn_147,3
bn_891,2
bn_466,0
bn_305,0
bn_463,1
bn_797,2
bn_874,0
bn_858,2
bn_776,0
bn_953,0
bn_832,0
bn_851,2
bn_257,1
bn_899,0
bn_372,0
bn_293,1
bn_89,1
bn_404,1
bn_209,1
bn_994,0
bn_93,1
bn_559,1
bn_625,1
bn_812,2
bn_306,1
bn_605,0
bn_780,2
bn_28,1
bn_810,2
bn_248,0
bn_501,0
bn_684,0
bn_859,2
bn_793,2
bn_878,0
bn_48,0
bn_691,0
bn_374,0
bn_665,0
bn_541,1
bn_441,1
bn_384,0
bn_867,2
bn_662,2
bn_518,1
bn_761,1
bn_103,1
bn_288,1
bn_951,0
bn_82,0
bn_792,2
bn_652,0
bn_304,1
bn_841,0
bn_694,5
bn_427,1
bn_360,0
bn_210,0
bn_31,1
bn_185,0
bn_419,1
bn_400,1
bn_526,0
bn_720,1
bn_913,0
bn_149,0
bn_965,1
bn_269,0
bn_345,0
bn_30,1
bn_414,1
bn_478,0
bn_963,0
bn_715,1
bn_303,0
bn_321,0
bn_245,1
bn_640,0
bn_760,0
bn_697,1
bn_791,2
bn_479,1
bn_740,1
bn_727,1
bn_756,2
bn_504,6
bn_46,0
bn_52,0
bn_663,0
bn_509,0
bn_191,0
bn_234,1
bn_730,2
bn_151,0
bn_141,0
bn_486,1
bn_819,0
bn_207,1
bn_328,0
bn_633,0
bn_842,0
bn_216,1
bn_721,0
bn_594,2
bn_218,1
bn_477,1
bn_569,0
bn_99,1
bn_517,1
bn_443,1
bn_471,0
bn_860,2
bn_926,1
bn_993,0
bn_189,0
bn_904,1
bn_230,1
bn_137,1
bn_495,0
bn_881,2
bn_689,1
bn_626,1
bn_600,6
bn_634,0
bn_772,1
bn_451,1
bn_638,1
bn_551,0
bn_148,1
bn_643,1
bn_417,1
bn_264,0
bn_470,1
bn_363,0
bn_98,0
bn_539,3
bn_719,1
bn_485,0
bn_712,2
bn_586,0
bn_157,0
bn_750,0
bn_835,0
bn_739,1
bn_222,1
bn_809,2
bn_568,0
bn_45,1
bn_386,0
bn_945,0
bn_733,0
bn_215,3
bn_130,1
bn_481,1
bn_601,4
bn_845,0
bn_219,0
bn_678,2
bn_655,0
bn_379,0
bn_159,3
bn_6,3
bn_950,1
bn_982,1
bn_820,0
bn_783,2
bn_692,0
bn_753,2
bn_646,0
bn_416,1
bn_606,2
bn_409,1
bn_252,1
bn_29,0
bn_68,1
bn_817,0
bn_996,1
bn_693,2
bn_890,0
bn_176,0
bn_69,0
bn_337,0
bn_352,0
bn_741,0
bn_356,0
bn_326,0
bn_429,1
bn_713,0
bn_675,0
bn_448,1
bn_590,1
bn_62,0
bn_377,0
bn_847,0
bn_274,0
bn_312,1
bn_59,1
bn_960,0
bn_334,0
bn_135,3
bn_630,2
bn_711,2
bn_752,0
bn_296,0
bn_940,0
bn_997,1
bn_986,0
bn_262,0
bn_32,1
bn_373,0
bn_522,2
bn_959,0
bn_153,0
bn_735,0
bn_724,0
bn_535,1
bn_610,0
bn_796,2
bn_931,0
bn_43,1
bn_757,5
bn_331,0
bn_668,0
bn_106,0
bn_50,0
bn_636,2
bn_794,2
bn_611,0
bn_865,2
bn_116,0
bn_131,0
bn_38,0
bn_602,4
bn_285,0
bn_671,2
bn_505,4
bn_710,0
bn_364,0
bn_381,0
bn_682,2
bn_13,4
bn_570,2
bn_322,0
bn_428,1
bn_84,1
bn_110,0
bn_220,1
bn_211,1
bn_229,3
bn_469,1
bn_648,1
bn_497,4
bn_318,0
bn_396,1
bn_193,1
bn_354,0
bn_114,0
bn_238,1
bn_705,0
bn_458,1
bn_759,0
bn_510,6
bn_200,1
bn_132,0
bn_612,2
bn_492,1
bn_104,1
bn_412,1
bn_802,2
bn_613,1
bn_921,0
bn_808,2
bn_863,0
bn_241,0
bn_763,1
bn_973,0
bn_437,1
bn_946,0
bn_194,0
bn_654,0
bn_544,0
bn_203,1
bn_251,1
bn_136,3
bn_843,0
bn_765,3
bn_474,0
bn_656,0
bn_3,3
bn_420,1
bn_895,2
bn_282,1
bn_442,1
bn_932,1
bn_395,1
bn_197,1
bn_669,1
bn_268,1
bn_907,0
bn_700,2
bn_627,0
bn_36,1
bn_292,1
bn_877,2
bn_97,0
bn_253,1
bn_5,1
bn_745,1
bn_175,1
bn_26,1
bn_536,1
bn_659,2
bn_674,2
bn_534,2
bn_155,1
bn_233,0
bn_487,0
bn_65,0
bn_530,1
bn_992,1
bn_315,0
bn_370,0
bn_284,1
bn_347,0
bn_738,1
bn_309,0
bn_333,0
bn_273,1
bn_250,0
bn_614,1
bn_80,0
bn_275,1
bn_349,0
bn_128,0
bn_582,2
bn_725,1
bn_978,1
bn_214,1
bn_58,0
bn_40,0
bn_338,0
bn_736,0
bn_201,0
bn_358,0
bn_806,2
bn_972,0
bn_112,1
bn_979,0
bn_324,0
bn_447,1
bn_180,1
bn_33,1
bn_814,0
bn_822,0
bn_244,0
bn_749,0
bn_239,3
bn_936,1
bn_746,1
bn_952,0
bn_538,3
bn_456,1
bn_310,0
bn_664,0
bn_164,1
bn_632,1
bn_608,1
bn_942,1
bn_920,1
bn_223,0
bn_596,1
bn_484,0
bn_319,0
bn_63,0
bn_365,0
bn_938,0
bn_406,1
bn_565,1
bn_143,1
bn_957,1
bn_415,1
bn_397,1
bn_8,4
bn_786,2
bn_19,0
bn_795,2
bn_88,0
bn_925,0
bn_1,3
bn_868,0
bn_57,1
bn_561,0
bn_41,0
bn_160,1
bn_140,1
bn_557,0
bn_774,3
bn_181,0
bn_683,0
bn_188,1
bn_983,0
bn_766,3
bn_604,0
bn_133,1
bn_134,1
bn_280,1
bn_866,2
bn_392,1
bn_956,1
bn_597,0
bn_558,2
bn_424,1
bn_346,0
bn_127,0
bn_944,1
bn_27,1
bn_279,0
bn_236,1
bn_948,1
bn_888,2
bn_607,1
bn_76,0
bn_22,1
bn_657,1
bn_628,0
bn_344,0
bn_954,0
bn_922,0
bn_247,1
bn_771,1
bn_12,4
bn_24,0
bn_171,0
bn_552,2
bn_226,1
bn_186,1
bn_857,2
bn_86,0
bn_621,0
bn_489,0
bn_375,0
bn_172,1
bn_732,2
bn_528,2
bn_340,0
bn_277,1
bn_828,0
bn_943,1
bn_351,0
bn_163,0
bn_969,0
bn_556,0
bn_224,1
bn_162,1
bn_687,0
bn_500,1
bn_423,1
bn_726,0
bn_830,0
bn_729,2
bn_125,0
bn_672,1
bn_831,0
bn_790,2
bn_755,2
bn_467,0
bn_622,0
bn_111,1
bn_852,0
bn_457,1
bn_532,0
bn_376,0
bn_937,0
bn_144,1
bn_680,1
bn_800,2
bn_146,1
bn_927,0
bn_902,1
bn_422,1
bn_581,0
bn_580,0
bn_688,0
bn_629,0
bn_389,0
bn_317,0
bn_66,1
bn_267,0
bn_879,2
bn_970,1
bn_418,1
bn_438,1
bn_327,0
bn_107,1
bn_984,1
bn_861,0
bn_435,1
bn_299,0
bn_574,0
bn_232,1
bn_824,0
bn_382,0
bn_871,2
bn_465,0
bn_35,1
bn_483,1
bn_661,1
bn_196,3
bn_468,1
bn_23,0
bn_744,0
bn_955,1
bn_221,0
bn_256,0
bn_455,1
bn_452,1
bn_302,1
bn_968,1
bn_507,0
bn_4,1
bn_9,0
bn_272,1
bn_449,1
bn_947,1
bn_941,1
bn_685,1
bn_102,0
bn_514,0
bn_583,1
bn_788,2
bn_919,1
bn_343,0
bn_506,4
bn_335,0
bn_53,1
bn_706,0
bn_547,1
bn_433,1
bn_670,1
bn_567,0
bn_225,3
bn_615,0
bn_0,1
bn_915,0
bn_961,0
bn_83,1
bn_743,0
bn_431,1
bn_883,2
bn_366,0
bn_124,1
bn_714,0
bn_603,0
bn_549,0
bn_126,1
bn_848,0
bn_426,1
bn_263,1
bn_882,0
bn_673,1
bn_623,0
bn_637,1
bn_826,0
bn_473,1
bn_341,0
bn_142,0
bn_184,1
bn_445,1
bn_768,0
bn_357,0
bn_876,0
bn_21,1
bn_618,2
bn_911,1
bn_182,1
bn_208,0
bn_971,0
bn_698,3
bn_25,0
bn_390,0
bn_821,0
bn_47,1
bn_325,0
bn_930,0
bn_742,0
bn_231,0
bn_307,0
bn_320,0
bn_10,0
bn_100,3
bn_838,0
bn_584,1
bn_367,0
bn_81,1
bn_747,1
bn_74,1
bn_854,0
bn_974,1
bn_579,0
bn_7,0
bn_227,0
bn_525,0
bn_880,0
bn_190,1
bn_591,0
bn_453,1
bn_855,2
bn_903,0
bn_246,1
bn_862,0
bn_332,0
bn_644,1
bn_439,1
bn_459,1
bn_770,1
bn_283,0
bn_709,0
bn_846,0
bn_287,0
bn_639,0
bn_566,1
bn_261,1
bn_573,0
bn_540,2
bn_121,0
bn_122,1
bn_641,0
bn_731,2
bn_642,2
bn_266,0
bn_617,0
bn_394,1
bn_531,0
bn_799,2
bn_166,1
bn_73,0
bn_118,0
bn_834,0
bn_575,0
bn_777,2
bn_728,0
bn_751,0
bn_78,0
bn_359,0
bn_577,1
bn_775,0
bn_2,3
bn_933,1
bn_165,0
bn_37,0
bn_237,0
bn_281,0
bn_734,0
bn_402,1
bn_450,1
bn_998,1
bn_548,1
bn_369,0
bn_355,0
bn_803,2
bn_342,0
bn_679,1
bn_781,2
bn_572,1
bn_205,1
bn_464,1
bn_550,0
bn_805,2
bn_995,0
bn_61,1
bn_385,0
bn_748,1
bn_813,0
bn_764,1
bn_844,0
bn_308,1
bn_177,0
bn_169,0
bn_170,1
bn_901,0
bn_588,2
