,attractor_group
bn_411,0
bn_361,1
bn_60,2
bn_109,3
bn_975,3
bn_265,46
bn_784,4
bn_595,5
bn_34,82
bn_624,32
bn_520,45
bn_980,7
bn_529,33
bn_461,6
bn_300,0
bn_985,1
bn_818,6
bn_707,29
bn_421,34
bn_631,27
bn_399,120
bn_152,29
bn_708,4
bn_380,21
bn_108,6
bn_393,121
bn_129,44
bn_314,8
bn_918,28
bn_54,47
bn_179,51
bn_722,46
bn_554,71
bn_213,38
bn_192,55
bn_958,124
bn_676,19
bn_503,84
bn_119,86
bn_521,7
bn_460,6
bn_117,85
bn_934,126
bn_391,125
bn_823,68
bn_872,7
bn_717,70
bn_576,69
bn_811,67
bn_833,4
bn_571,99
bn_454,18
bn_839,98
bn_339,6
bn_161,9
bn_405,17
bn_301,21
bn_928,44
bn_228,9
bn_894,101
bn_432,10
bn_667,67
bn_85,5
bn_476,52
bn_410,0
bn_120,64
bn_773,9
bn_887,87
bn_856,11
bn_158,30
bn_546,100
bn_323,35
bn_962,53
bn_51,12
bn_840,54
bn_542,22
bn_885,31
bn_330,61
bn_849,63
bn_502,84
bn_900,4
bn_892,25
bn_555,52
bn_217,0
bn_316,30
bn_653,38
bn_589,64
bn_701,27
bn_560,11
bn_553,47
bn_508,83
bn_758,25
bn_353,13
bn_212,63
bn_67,17
bn_527,2
bn_914,34
bn_336,16
bn_271,25
bn_154,97
bn_388,60
bn_829,119
bn_105,24
bn_853,14
bn_635,23
bn_869,65
bn_696,24
bn_704,127
bn_39,71
bn_563,66
bn_446,23
bn_311,68
bn_801,59
bn_543,23
bn_436,12
bn_258,54
bn_313,67
bn_779,62
bn_939,123
bn_990,122
bn_174,31
bn_480,29
bn_101,15
bn_198,10
bn_967,15
bn_90,20
bn_898,45
bn_11,39
bn_94,37
bn_587,71
bn_378,114
bn_92,36
bn_545,19
bn_444,22
bn_407,1
bn_294,26
bn_156,26
bn_598,1
bn_96,16
bn_870,6
bn_494,27
bn_769,50
bn_699,101
bn_329,59
bn_195,35
bn_987,2
bn_95,23
bn_425,33
bn_976,4
bn_71,12
bn_718,26
bn_64,69
bn_475,51
bn_977,17
bn_620,36
bn_348,18
bn_804,35
bn_387,128
bn_884,62
bn_498,102
bn_889,22
bn_836,16
bn_523,5
bn_70,34
bn_398,48
bn_512,69
bn_242,49
bn_905,19
bn_677,6
bn_260,16
bn_482,26
bn_72,44
bn_864,53
bn_785,10
bn_593,17
bn_91,21
bn_695,87
bn_578,44
bn_499,102
bn_15,43
bn_20,16
bn_935,109
bn_767,110
bn_202,7
bn_286,111
bn_999,8
bn_815,23
bn_150,12
bn_513,4
bn_139,18
bn_138,19
bn_910,6
bn_204,59
bn_906,133
bn_255,115
bn_383,115
bn_44,20
bn_516,60
bn_989,132
bn_413,5
bn_897,60
bn_173,37
bn_703,110
bn_564,108
bn_896,69
bn_462,3
bn_240,19
bn_440,20
bn_789,70
bn_912,42
bn_113,47
bn_754,49
bn_702,92
bn_723,62
bn_42,10
bn_488,28
bn_18,36
bn_297,15
bn_243,113
bn_235,114
bn_187,23
bn_949,21
bn_690,26
bn_496,97
bn_493,25
bn_270,56
bn_291,70
bn_537,36
bn_403,13
bn_658,7
bn_798,21
bn_55,66
bn_145,34
bn_75,39
bn_619,94
bn_511,103
bn_778,46
bn_289,11
bn_350,3
bn_908,9
bn_249,93
bn_807,22
bn_533,14
bn_77,14
bn_368,10
bn_178,71
bn_254,119
bn_645,41
bn_199,12
bn_434,14
bn_825,91
bn_647,14
bn_298,62
bn_716,11
bn_686,73
