,attractor_group
bn_411,4
bn_361,18
bn_60,6
bn_109,0
bn_975,25
bn_265,1
bn_784,10
bn_595,2
bn_34,0
bn_624,5
bn_520,27
bn_980,8
bn_529,2
bn_461,3
bn_300,7
bn_985,19
bn_818,9
bn_707,12
bn_421,15
bn_631,4
bn_399,2
bn_152,0
bn_708,19
bn_380,17
bn_108,0
bn_393,2
bn_129,0
bn_314,1
bn_918,10
bn_54,6
bn_179,13
bn_722,12
bn_554,16
bn_213,7
bn_192,1
bn_958,12
bn_676,2
bn_503,34
bn_119,0
bn_521,27
bn_460,5
bn_117,0
bn_934,20
bn_391,3
bn_823,33
bn_872,8
bn_717,25
bn_576,3
bn_811,14
bn_833,14
bn_571,2
bn_454,3
bn_839,8
bn_339,7
bn_161,0
bn_405,16
bn_301,7
bn_928,20
bn_228,1
bn_894,9
bn_432,2
bn_667,2
bn_85,11
bn_476,5
bn_410,5
bn_120,0
bn_773,10
bn_887,14
bn_856,8
bn_158,6
bn_546,3
bn_323,1
bn_962,19
bn_51,0
bn_840,20
bn_542,3
bn_885,9
bn_330,1
bn_849,10
bn_502,18
bn_900,23
bn_892,23
bn_555,4
bn_217,1
bn_316,1
bn_653,3
bn_589,3
bn_701,12
bn_560,4
bn_553,2
bn_508,27
bn_758,24
bn_353,17
bn_212,1
bn_67,6
bn_527,17
bn_914,8
bn_336,7
bn_271,13
bn_154,6
bn_388,4
bn_829,23
bn_105,0
bn_853,8
bn_635,16
bn_869,21
bn_696,12
bn_704,12
bn_39,0
bn_563,16
bn_446,5
bn_311,1
bn_801,9
bn_543,3
bn_436,4
bn_258,1
bn_313,7
bn_779,10
bn_939,10
bn_990,9
bn_174,13
bn_480,2
bn_101,6
bn_198,1
bn_967,21
bn_90,6
bn_898,14
bn_11,11
bn_94,11
bn_587,5
bn_378,17
bn_92,6
bn_545,5
bn_444,4
bn_407,2
bn_294,7
bn_156,0
bn_598,4
bn_96,0
bn_870,8
bn_494,36
bn_769,10
bn_699,35
bn_329,1
bn_195,1
bn_987,19
