,attractor_group
bn_411,0
bn_361,29
bn_60,87
bn_109,2
bn_975,89
bn_265,28
bn_784,133
bn_595,12
bn_34,134
bn_624,135
bn_520,26
bn_980,88
bn_529,136
bn_461,5
bn_300,132
bn_985,86
bn_818,21
bn_707,1
bn_421,20
bn_631,39
bn_399,2
bn_152,59
bn_708,1
bn_380,19
bn_108,59
bn_393,18
bn_129,47
bn_314,167
bn_918,155
bn_54,32
bn_179,33
bn_722,91
bn_554,23
bn_213,1
bn_192,9
bn_958,62
bn_676,116
bn_503,85
bn_119,5
bn_521,129
bn_460,23
bn_117,54
bn_934,0
bn_391,27
bn_823,27
bn_872,117
bn_717,83
bn_576,3
bn_811,135
bn_833,10
bn_571,9
bn_454,13
bn_839,108
bn_339,3
bn_161,20
bn_405,6
bn_301,14
bn_928,80
bn_228,241
bn_894,120
bn_432,25
bn_667,56
bn_85,113
bn_476,12
bn_410,24
bn_120,57
bn_773,37
bn_887,131
bn_856,114
bn_158,11
bn_546,82
bn_323,0
bn_962,14
bn_51,2
bn_840,30
bn_542,21
bn_885,137
bn_330,19
bn_849,115
bn_502,13
bn_900,121
bn_892,96
bn_555,95
bn_217,7
bn_316,94
bn_653,99
bn_589,29
bn_701,98
bn_560,5
bn_553,23
bn_508,11
bn_758,14
bn_353,12
bn_212,6
bn_67,33
bn_527,62
bn_914,101
bn_336,27
bn_271,5
bn_154,6
bn_388,31
bn_829,100
bn_105,0
bn_853,16
bn_635,104
bn_869,104
bn_696,97
bn_704,1
bn_39,74
bn_563,107
bn_446,19
bn_311,2
bn_801,106
bn_543,21
bn_436,17
bn_258,244
bn_313,30
bn_779,48
bn_939,4
bn_990,82
bn_174,57
bn_480,138
bn_101,3
bn_198,58
bn_967,15
bn_90,105
bn_898,103
bn_11,102
bn_94,3
bn_587,112
bn_378,18
bn_92,32
bn_545,182
bn_444,16
bn_407,1
bn_294,1
bn_156,54
bn_598,91
bn_96,8
bn_870,181
bn_494,139
bn_769,44
bn_699,180
bn_329,15
bn_195,46
bn_987,37
bn_95,75
bn_425,13
bn_976,38
bn_71,110
bn_718,13
bn_64,243
bn_475,19
bn_977,39
bn_620,15
bn_348,31
bn_804,111
bn_387,21
bn_884,176
bn_498,172
bn_889,177
bn_836,175
bn_523,174
bn_70,173
bn_398,30
bn_512,79
bn_242,242
bn_905,178
bn_677,183
bn_260,166
bn_482,179
bn_72,35
bn_864,185
bn_785,2
bn_593,184
bn_91,122
bn_695,164
bn_578,3
bn_499,165
bn_15,168
bn_20,33
bn_935,0
bn_767,43
bn_202,47
bn_286,169
bn_999,9
bn_815,21
bn_150,33
bn_513,4
bn_139,10
bn_138,3
bn_910,186
bn_204,20
bn_906,123
bn_255,78
bn_383,23
bn_44,171
bn_516,81
bn_989,8
bn_413,19
bn_897,183
bn_173,47
bn_703,170
bn_564,114
bn_896,187
bn_462,11
bn_240,248
bn_440,23
bn_789,147
bn_912,153
bn_113,28
bn_754,62
bn_702,152
bn_723,12
bn_42,122
bn_488,1
bn_18,34
bn_297,15
bn_243,246
bn_235,247
bn_187,50
bn_949,13
bn_690,154
bn_496,22
bn_493,185
bn_270,102
bn_291,0
bn_537,6
bn_403,9
bn_658,44
bn_798,22
bn_55,35
bn_145,35
bn_75,1
bn_619,15
bn_511,151
bn_778,9
bn_289,12
bn_350,23
bn_908,116
bn_249,90
bn_807,196
bn_533,111
bn_77,2
bn_368,11
bn_178,10
bn_254,249
bn_645,41
bn_199,35
bn_434,6
bn_825,11
bn_647,150
bn_298,146
bn_716,77
bn_686,149
bn_850,16
bn_609,76
bn_875,192
bn_917,194
bn_762,65
bn_592,148
bn_966,65
bn_929,1
bn_276,195
bn_168,54
bn_56,64
bn_491,80
bn_17,0
bn_16,193
bn_206,49
bn_886,138
bn_167,53
bn_649,16
bn_295,1
