,attractor_group
bn168,0
bn602,0
bn157,0
bn45,0
bn8,0
bn109,0
bn307,0
bn12,0
bn530,0
bn321,0
bn547,0
bn487,0
bn408,0
bn404,0
bn566,0
bn494,0
bn580,0
bn65,0
bn122,0
bn421,0
bn170,0
bn42,0
bn351,0
bn553,0
bn186,0
bn326,0
bn238,0
bn131,0
bn212,0
bn499,0
bn369,0
bn383,0
bn250,0
bn572,0
bn341,0
bn60,0
bn215,0
bn391,0
bn206,0
bn116,0
bn224,0
bn465,0
bn100,0
bn271,0
bn571,0
bn542,0
bn442,0
bn534,0
bn70,0
bn588,0
bn434,0
bn28,0
bn436,0
bn457,0
bn301,0
bn455,0
bn138,0
bn389,0
bn150,0
bn384,0
bn63,0
bn416,0
bn73,0
bn309,0
bn515,0
bn305,0
bn493,0
bn87,0
bn207,0
bn58,0
bn118,0
bn578,0
bn500,0
bn189,0
bn450,0
bn523,0
bn255,0
bn125,0
bn320,0
bn261,0
bn381,0
bn370,0
bn587,0
bn254,0
bn374,0
bn105,0
bn244,0
bn74,0
bn135,0
bn99,0
bn11,0
bn430,0
bn611,0
bn226,0
bn158,0
bn498,0
bn235,0
bn334,0
bn417,0
bn120,0
bn316,0
bn30,0
bn368,0
bn288,0
bn609,0
bn400,0
bn249,0
bn110,0
bn382,0
bn199,0
bn16,0
bn362,0
bn88,0
bn490,0
bn388,0
bn460,0
bn222,0
bn201,0
bn141,0
bn375,0
bn3,0
bn177,0
bn279,0
bn205,0
bn600,0
bn294,0
bn345,0
bn179,0
bn476,0
bn449,0
bn352,0
bn41,0
bn32,0
bn557,0
bn85,0
bn454,0
bn227,0
bn584,0
bn128,0
bn412,0
bn82,0
bn482,0
bn53,0
bn237,0
bn533,0
bn91,0
bn62,0
bn101,0
bn396,0
bn4,0
bn298,0
bn111,0
bn236,0
bn39,0
bn297,0
bn411,0
bn610,0
bn64,0
bn453,0
bn156,0
bn509,0
bn123,0
bn27,0
bn61,0
bn601,0
bn574,0
bn606,0
bn273,0
bn540,0
bn139,0
bn7,0
bn162,0
bn495,0
bn537,0
bn97,0
bn290,0
bn431,0
bn14,0
bn230,0
bn57,0
bn144,0
bn603,0
bn173,0
bn451,0
bn485,0
bn178,0
bn311,0
bn130,0
bn246,0
bn489,0
bn608,0
bn461,0
bn267,0
bn349,0
bn486,0
bn20,0
bn473,0
bn318,0
bn429,0
bn197,0
bn339,0
bn427,0
bn300,0
bn263,0
bn501,0
bn340,0
bn445,0
bn462,0
bn475,0
bn18,0
bn546,0
bn507,0
bn54,0
bn104,0
bn159,0
bn192,0
bn176,0
bn95,0
bn551,0
bn223,0
bn333,0
bn160,0
bn175,0
bn397,0
bn615,0
bn161,0
bn562,0
bn152,0
bn373,0
bn592,0
bn432,0
bn539,0
bn468,0
bn166,0
bn328,0
bn392,0
bn25,0
bn402,0
bn573,0
bn390,0
bn599,0
bn24,0
bn470,0
bn367,0
bn204,0
bn488,0
bn458,0
bn137,0
bn242,0
bn541,0
bn67,0
bn38,0
bn314,0
bn343,0
bn293,0
bn29,0
bn513,0
bn423,0
bn522,0
bn164,0
bn567,0
bn556,0
bn289,0
bn355,0
bn319,0
bn145,0
bn613,0
bn467,0
bn428,0
bn245,0
bn72,0
bn596,0
bn231,0
bn516,0
bn348,0
bn324,0
bn127,0
bn98,0
bn395,0
bn483,0
bn479,0
bn480,0
bn229,0
bn240,0
bn560,0
bn140,0
bn136,0
bn252,0
bn517,0
bn598,0
bn607,0
bn536,0
bn401,0
bn466,0
bn332,0
bn50,0
bn529,0
bn209,0
bn31,0
bn132,0
bn544,0
bn5,0
bn296,0
bn405,0
bn295,0
bn492,0
bn49,0
bn491,0
bn317,0
bn196,0
bn503,0
bn90,0
bn464,0
bn543,0
bn313,0
bn35,0
bn322,0
bn575,0
bn37,0
bn119,0
bn591,0
bn304,0
bn439,0
bn478,0
bn524,0
bn527,0
bn203,0
bn337,0
bn586,0
bn154,0
bn565,0
bn440,0
bn0,0
bn422,0
bn282,0
bn550,0
bn380,0
bn443,0
bn81,0
bn83,0
bn506,0
bn169,0
bn593,0
bn257,0
bn410,0
bn456,0
bn228,0
bn548,0
bn387,0
bn79,0
bn604,0
bn185,0
bn559,0
bn342,0
bn407,0
bn80,0
bn253,0
bn172,0
bn268,0
bn448,0
bn398,0
bn576,0
bn75,0
bn283,0
bn399,0
bn211,0
bn525,0
bn338,0
bn444,0
bn612,0
bn9,0
bn452,0
bn354,0
bn406,0
bn46,0
bn96,0
bn194,0
bn425,0
bn26,0
bn308,0
bn10,0
bn521,0
bn579,0
bn270,0
bn447,0
bn303,0
bn568,0
bn13,0
bn589,0
bn21,0
bn148,0
bn36,0
bn181,0
bn191,0
bn260,0
bn184,0
bn510,0
bn353,0
bn581,0
bn269,0
bn532,0
bn23,0
bn471,0
bn519,0
bn299,0
bn155,0
bn44,0
bn134,0
bn129,0
bn564,0
bn106,0
bn33,0
bn167,0
bn93,0
bn233,0
bn323,0
bn528,0
bn558,0
bn149,0
bn595,0
bn597,0
bn552,0
bn183,0
bn287,0
bn549,0
bn306,0
bn277,0
bn545,0
bn193,0
bn112,0
bn146,0
bn415,0
bn86,0
bn514,0
bn512,0
bn585,0
bn210,0
bn107,0
bn315,0
bn34,0
bn469,0
bn594,0
bn55,0
bn518,0
bn377,0
bn379,0
bn218,0
bn441,0
bn259,0
bn115,0
bn393,0
bn386,0
bn394,0
bn302,0
bn459,0
bn265,0
bn171,0
bn426,0
bn40,0
bn256,0
bn614,0
bn347,0
bn143,0
bn165,0
bn329,0
bn511,0
bn180,0
bn239,0
bn371,0
bn331,0
bn563,0
bn182,0
bn284,0
bn84,0
bn2,0
bn276,0
bn497,0
bn366,0
bn133,0
bn6,0
bn554,0
bn202,0
bn357,0
bn278,0
bn336,0
bn59,0
bn92,0
bn52,0
bn414,0
bn77,0
bn365,0
bn526,0
bn363,0
bn281,0
bn47,0
bn361,0
bn153,0
bn280,0
bn330,0
bn108,0
bn335,0
bn17,0
bn496,0
bn68,0
bn76,0
bn114,0
bn378,0
bn219,0
bn359,0
bn266,0
bn216,0
bn292,0
bn151,0
bn350,0
bn142,0
bn424,0
bn225,0
bn232,0
bn124,0
bn286,0
bn372,0
bn275,0
bn113,0
bn327,0
bn583,0
bn1,0
bn438,0
bn56,0
bn344,0
bn505,0
bn385,0
bn214,0
bn187,0
bn248,0
bn251,0
bn419,0
bn474,0
bn163,0
bn174,0
bn535,0
bn590,0
bn94,0
bn472,0
bn420,0
bn570,0
bn71,0
bn190,0
bn484,0
bn433,0
bn195,0
bn147,0
bn481,0
bn437,0
bn51,0
bn463,0
bn19,0
bn48,0
bn577,0
bn403,0
bn43,0
bn605,0
bn409,0
bn538,0
bn103,0
bn413,0
bn569,0
bn69,0
bn520,0
bn247,0
bn198,0
bn221,0
bn312,0
bn435,0
bn272,0
bn208,0
bn121,0
bn78,0
bn531,0
bn582,0
bn262,0
bn446,0
bn555,0
bn325,0
bn346,0
bn418,0
bn358,0
bn561,0
bn376,0
bn477,0
bn102,0
bn243,0
bn258,0
bn213,0
bn274,0
bn264,0
bn360,0
bn508,0
bn89,0
bn234,0
bn502,0
bn291,0
bn220,0
bn117,0
bn241,0
bn285,0
bn188,0
bn126,0
bn66,0
bn310,0
bn22,0
bn217,0
bn15,0
bn200,0
bn356,0
bn364,0
bn504,0
