,attractor_group
bn_411,0
bn_361,0
bn_60,0
bn_109,0
bn_975,0
bn_265,0
bn_784,0
bn_595,0
bn_34,0
bn_624,0
bn_520,0
bn_980,0
bn_529,0
bn_461,0
bn_300,0
bn_985,0
bn_818,0
bn_707,0
bn_421,0
bn_631,0
bn_399,0
bn_152,0
bn_708,0
bn_380,0
bn_108,0
bn_393,0
bn_129,0
bn_314,0
bn_918,0
bn_54,0
bn_179,0
bn_722,0
bn_554,0
bn_213,0
bn_192,0
bn_958,0
bn_676,0
bn_503,0
bn_119,0
bn_521,0
bn_460,0
bn_117,0
bn_934,0
bn_391,0
bn_823,0
bn_872,0
bn_717,0
bn_576,0
bn_811,0
bn_833,0
bn_571,0
bn_454,0
bn_839,0
bn_339,0
bn_161,0
bn_405,0
bn_301,0
bn_928,0
bn_228,0
bn_894,0
bn_432,0
bn_667,0
bn_85,0
bn_476,0
bn_410,0
bn_120,0
bn_773,0
bn_887,0
bn_856,0
bn_158,0
bn_546,0
bn_323,0
bn_962,0
bn_51,0
bn_840,0
bn_542,0
bn_885,0
bn_330,0
bn_849,0
bn_502,0
bn_900,0
bn_892,0
bn_555,0
bn_217,0
bn_316,0
bn_653,0
bn_589,0
bn_701,0
bn_560,0
bn_553,0
bn_508,0
bn_758,0
bn_353,0
bn_212,0
bn_67,0
bn_527,0
bn_914,0
bn_336,0
bn_271,0
bn_154,0
bn_388,0
bn_829,0
bn_105,0
bn_853,0
bn_635,0
bn_869,0
bn_696,0
bn_704,0
bn_39,0
bn_563,0
bn_446,0
bn_311,0
bn_801,0
bn_543,0
bn_436,0
bn_258,0
bn_313,0
bn_779,0
bn_939,0
bn_990,0
bn_174,0
bn_480,0
bn_101,0
bn_198,0
bn_967,0
bn_90,0
bn_898,0
bn_11,0
bn_94,0
bn_587,0
bn_378,0
bn_92,0
bn_545,0
bn_444,0
bn_407,0
bn_294,0
bn_156,0
bn_598,0
bn_96,0
bn_870,0
bn_494,0
bn_769,0
bn_699,0
bn_329,0
bn_195,0
bn_987,0
bn_95,0
bn_425,0
bn_976,0
bn_71,0
bn_718,0
bn_64,0
bn_475,0
bn_977,0
bn_620,0
bn_348,0
bn_804,0
bn_387,0
bn_884,0
bn_498,0
bn_889,0
bn_836,0
bn_523,0
bn_70,0
bn_398,0
bn_512,0
bn_242,0
bn_905,0
bn_677,0
bn_260,0
bn_482,0
bn_72,0
bn_864,0
bn_785,0
bn_593,0
bn_91,0
bn_695,0
bn_578,0
bn_499,0
bn_15,0
bn_20,0
bn_935,0
bn_767,0
bn_202,0
bn_286,0
bn_999,0
bn_815,0
bn_150,0
bn_513,0
bn_139,0
bn_138,0
bn_910,0
bn_204,0
bn_906,0
bn_255,0
bn_383,0
bn_44,0
bn_516,0
bn_989,0
bn_413,0
bn_897,0
bn_173,0
bn_703,0
bn_564,0
bn_896,0
bn_462,0
bn_240,0
bn_440,0
bn_789,0
bn_912,0
bn_113,0
bn_754,0
bn_702,0
bn_723,0
bn_42,0
bn_488,0
bn_18,0
bn_297,0
bn_243,0
bn_235,0
bn_187,0
bn_949,0
bn_690,0
bn_496,0
bn_493,0
bn_270,0
bn_291,0
bn_537,0
bn_403,0
bn_658,0
bn_798,0
bn_55,0
bn_145,0
bn_75,0
bn_619,0
bn_511,0
bn_778,0
bn_289,0
bn_350,0
bn_908,0
bn_249,0
bn_807,0
bn_533,0
bn_77,0
bn_368,0
bn_178,0
bn_254,0
bn_645,0
bn_199,0
bn_434,0
bn_825,0
bn_647,0
bn_298,0
bn_716,0
bn_686,0
bn_850,0
bn_609,0
bn_875,0
bn_917,0
bn_762,0
bn_592,0
bn_966,0
bn_929,0
bn_276,0
bn_168,0
bn_56,0
bn_491,0
bn_17,0
bn_16,0
bn_206,0
bn_886,0
bn_167,0
bn_649,0
bn_295,0
bn_916,0
bn_408,0
bn_651,0
bn_278,0
bn_472,0
bn_787,0
bn_401,0
bn_666,0
bn_49,0
bn_115,0
bn_964,0
bn_923,0
bn_259,0
bn_562,0
bn_599,0
bn_681,0
bn_988,0
bn_515,0
bn_924,0
bn_183,0
bn_290,0
bn_430,0
bn_660,0
bn_991,0
bn_79,0
bn_650,0
bn_737,0
bn_616,0
bn_362,0
bn_893,0
bn_14,0
bn_123,0
bn_873,0
bn_782,0
bn_837,0
bn_524,0
bn_371,0
bn_585,0
bn_981,0
bn_519,0
bn_909,0
bn_816,0
bn_827,0
bn_490,0
bn_87,0
bn_147,0
bn_891,0
bn_466,0
bn_305,0
bn_463,0
bn_797,0
bn_874,0
bn_858,0
bn_776,0
bn_953,0
bn_832,0
bn_851,0
bn_257,0
bn_899,0
bn_372,0
bn_293,0
bn_89,0
bn_404,0
bn_209,0
bn_994,0
bn_93,0
bn_559,0
bn_625,0
bn_812,0
bn_306,0
bn_605,0
bn_780,0
bn_28,0
