,logic_length
AD,1
AP,1
AgAb_Bacterium,2
BC_Bacterium,1
BC_TRetortaeformis,2
Bb,2
Cb,1
DCII_Bacterium,1
DCII_TRetortaeformis,1
DCI_Bacterium,9
DCI_TRetortaeformis,1
DP,2
EC_Bacterium,1
EC_TRetortaeformis,1
EL,2
EL2,1
IFNgI,1
IFNgII,2
IFNg_Bacterium,1
IL10I,1
IL10I_Bacterium,1
IL12II,1
IL13,1
IL4I,1
IL4II,1
IL5,1
IS,2
IgA_Bacterium,1
IgA_TRetortaeformis,1
IgE,1
IgG,1
IgG_Bacterium,1
MPI_Bacterium,1
NE_Bacterium,1
NE_TRetortaeformis,1
Oag,1
PH,1
PIC,1
T0,1
TEL,2
TNE,1
TTSSI,1
TTSSII,1
Th1II_Bacterium,1
Th1II_TRetortaeformis,1
Th1I_Bacterium,1
Th1I_TRetortaeformis,1
Th2II_Bacterium,1
Th2II_TRetortaeformis,1
Th2I_Bacterium,1
Th2I_TRetortaeformis,1
TrII,1
TrI_Bacterium,1
