,logic_length
AKT,1
APC,2
ASK1,2
ATM,1
Apoptosis,1
BAX,1
BCATENIN,1
BCL2,13
CASP3,1
CASP8,1
CASP9,1
CCL2,1
CERAMIDE,1
CFLIP,1
COX2,1
CTL,1
CYCLIND1,1
CYTC,1
DC,1
EP2,1
ERK,1
FADD,1
FAS,1
FOS,1
GP130,1
GSK3B,1
IAP,1
IFNG,1
IKB,1
IKK,1
IL10,1
IL12,1
IL4,1
IL6,2
JAK,1
JNK,1
JUN,1
MAC,1
MDM2,1
MEK,2
MEKK1,1
MOMP,1
NFKB,1
P21,2
P53,1
PGE2,1
PI3K,1
PP2A,1
PTEN,1
Proliferation,7
RAF,1
RAS,1
ROS,1
S1P,1
SMAC,1
SMAD,1
SMAD7,2
SMASE,1
SOCS,1
SOD,2
SPHK1,1
STAT3,1
TBID,1
TGFB,1
TGFR,1
TH1,1
TH2,1
TNFA,1
TNFR,1
TREG,1
