,logic_length
AKAP12,2
AP1,1
ATF2,2
Akt,2
C3G,1
CCL20,1
CDK2,1
CDKN1A,1
CDKN2A,1
CREB,1
CRKL,1
CTGF,1
Ca,1
Cdc42_Rac1,1
CellMigration,1
CyclinD,1
DAG,1
DOCK180,1
DUSP1,2
ECM,1
EGF,2
EGFR,1
EGR1,1
ETS,1
Elk1,1
Erk,1
Fak,1
Grb2,1
HBEGF,1
HGF,2
IL8,1
IP3,1
Integrins,1
JNK,1
MET,1
MLK3,1
MMP1_10,1
Mek,1
Mekk1,1
Mekk4,1
Mekk7,1
Mkk3,1
Mkk4,1
Mkk6,1
PAI_1,2
PAK1,1
PAK2,1
PAK3,1
PI3K,1
PKC,1
PLC_g,1
PTEN,2
PTGS2,1
Plasmin,2
Proliferation,2
RSK,1
Raf,1
Rap1,1
Ras,1
SOS,1
STAT3,1
Shc,1
cFOS,1
cJUN,1
cMYC,1
p38,1
uPA,1
uPAR,1
