,logic_length
ADM,1
AEBP1,1
AFF1,1
AICDA,1
AKAP12,1
AKT3,1
ALOX5,1
ANXA2,1
APLP2,1
APOBEC3G,1
APP,4
BLNK,1
BMI1,1
CASP3,1
CAV1,1
CCL5,1
CCND2,1
CD27,1
CD63,1
CD69,1
CD70,1
CD74,1
CD79A,1
CD81,1
CD86,1
CH2,2
CHST2,1
CNR1,1
CREM,1
CSDA,1
CSNK2A2,1
CTSB,1
CUL5,1
DPP4,1
EED,1
EGR1,1
EZH2,1
FCER2,1
FGFR1,1
FOS,1
FRK,1
FYN,1
GSK3B,1
H2AFX,1
HDAC9,2
HIST1H3H,1
HIST2H2AA3,1
HSP90AA1,1
HSP90B1,1
IFNGR2,1
IGF1R,1
IL10RA,1
IL7,1
ILK,1
INPP5D,1
JAK1,9
LGALS1,1
LIG1,1
LMNA,1
LPL,1
MAP2K6,1
MAP4K4,1
MARCKS,1
MGAT5,1
MIF,1
MYL9,1
MYLK,1
NAB1,1
NCOR2,1
NFE2L2,2
NOTCH2,1
OGT,1
PAX3,2
PCNA,1
PLD1,1
PRF1,1
PRKCA,1
PTCH1,1
PTEN,2
RFC5,1
RPS6KA5,1
RRM1,1
RUNX3,1
SELL,1
SELP,1
SIAH1,1
SKI,1
TCF3,1
TGFBR3,1
TNF,1
TNFRSF1B,1
VDR,2
