,logic_length
a2m_gfbg,1
akt,1
anti_apoptotic,1
bad,1
ca,1
cam_ca,1
camk24,1
casp9,1
cebpb,1
cebpd,1
cfos,1
cmyc,1
crp,1
cyt_ptpe,2
dum_cebp_saa,1
dum_gab1_kin_or_jak1_gab1_mem_p,1
dum_gp80_a_il6rc,1
dum_il6rc_p_or_grb2_vav,1
dum_mtorc1_or_pkcd_stat3_ta,1
dum_pkcd_camk24_stat1_ta,1
erk12,1
fkhr,1
gab1_kin,2
gab1_mem,1
gab1_mem_p,1
gp130m,2
gp130s,1
gp80m_a,1
gp80s_a,1
grb2_sos,1
gsk3,1
il6,2
il6rc,1
il6rc_p,1
ip3,1
ir,1
irs1_ps,1
irs1_py,1
jak1,1
junb,1
mek1,1
mek4,1
mek6,1
mekk1,1
mk2,1
mtor,1
mtorc1,1
mtorc2,1
nfkb,1
p38,1
p70s6k,1
pdk1,2
phlpp,2
pi3k,1
pias1,2
pias3,1
pip3,1
pkcd,1
plcg,1
pro_hgf,1
pro_proliferative,1
pten,2
rac1,1
raf1,1
ras,1
ras_gap,1
ros,2
saa,1
ship,1
shp2,1
shp2_a,1
sirp1a,2
slim,1
socs1,1
socs3,1
stat1_py,1
stat1_ta,1
stat3_py,1
stat3_ta,1
tdum_shp2_il6rc_p,1
tdum_shp2_stat1_py,1
tdum_shp2_stat3_py,1
tdum_socs1_vav,1
tdum_socs3_shp2,1
var_app,1
vav,1
