,logic_length
Dummy,1
abl,1
akap79,1
ap1,1
bad,1
bcat,1
bcl10,1
bclxl,1
ca,1
cabin1,1
calcin,1
calpr1,1
cam,1
camk2,1
camk4,1
card11,1
card11a,1
cblb,1
ccblp1,1
ccblp2,1
ccblr,1
cd28,1
cd4,2
cd45,1
cdc42,1
cre,1
creb,1
csk,1
cyc1,1
dag,1
dgk,1
erk,1
fkhr,1
fos,1
fyn,1
gab2,1
gadd45,1
gads,1
gap,1
grb2,1
gsk3,1
hpk1,1
ikb,1
ikkab,1
ikkg,1
ip3,1
itk,1
jnk,1
jun,1
lat,1
lckp1,1
lckp2,1
lckr,1
lckr_input,2
malt1,1
mek,1
mekk1,1
mkk4,1
mlk3,1
nfat,1
nfkb,1
p21c,1
p27k,1
p38,1
p70s,1
pag,1
pdk1,1
pi3k,1
pip3,1
pkb,1
pkcth,1
plcga,1
plcgb,1
pten,1
rac1p1,2
rac1p2,2
rac1r,1
raf,1
ras,3
rasgrp,1
rlk,1
rsk,1
sh3bp2,1
ship1,1
shp1,2
shp2,1
slp76,1
sos,1
sre,2
tcrb,1
tcrlig,1
tcrp,3
unknown_input,2
unknown_input2,2
unknown_input3,2
vav1,1
vav3,1
xx,1
zap70,1
