,"Toll Pathway of Drosophila Signaling Pathway_23868318","HH Pathway of Drosophila Signaling Pathways_23868318","VEGF Pathway of Drosophila Signaling Pathway_23868318","FGF pathway of Drosophila Signaling Pathways_23868318","toy_reprogramming","HCC1954 Breast Cell Line Short-term ErbB Network_24970389","SKBR3 Breast Cell Line Long-term ErbB Network_24970389","BT474 Breast Cell Line Long-term ErbB Network_24970389","B cell differentiation_26751566","HCC1954 Breast Cell Line Long-term ErbB Network_24970389","Body Segmentation in Drosophila 2013_23520449","SKBR3 Breast Cell Line Short-term ErbB Network_24970389","Human Gonadal Sex Determination_26573569","test_bonesis","Death Receptor Signaling_20221256","Mammalian Cell Cycle_19118495","synthetic_random_diff","Cardiac development_23056457","Processing of Spz Network from the Drosophila Signaling Pathway_23868318","Lac Operon_21563979","Cortical Area Development_20862356","Regulation of the L-arabinose operon of Escherichia coli_28639170"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,0.299065420560748,0,0.003316462322728,0.002110215214124,0,0.010516467115098,0.086019880259637,0.015289119155693,0.006732137762905,0.002237323949985,0.031621843888318,0.014353546638089,0.442307483297577,1,0.159532492858963,0.756605374074151,,0.839037662692213,0.017135483748538,0.067283622414801,0.138381136766175,0.032438792158641
2,0.419889502762431,0,0.008223491387937,0.004677321601403,0,0.016982977131355,0.164757876013429,0.027936001477173,0.013283856997277,0.006105255116551,0.097351685990255,0.026523429119096,0.314502727716579,,0.293318684793609,0.810576606162163,,0.840875246199946,0.03504234936261,0.147597897730572,0.031985691892309,0.060580610176133
3,0.594594594594595,0,0.008908848648796,0.006555171765331,0,0.032904140356637,0.20362753032771,0.038672224924524,0.019904480460292,0.010884078179425,0.132978970880058,0.029335981845273,0.321819940870689,,0.362813573835133,0.992837469502027,,0.844983551862849,0.051788390700499,0.180741966357851,0.038057962733271,0.094461008125118
4,0.761904761904762,0,0.011081265435242,0.009171777047832,0,0.039186878939383,0.257687916186003,0.053684543247678,0.025029403548661,0.011030873283923,0.183234792170996,0.052621638644165,0.311296292785411,,0.412899212925029,0.999403937145726,,0.977326878760403,0.065191431712809,0.279736028620605,0.028647930997598,0.116344269855673
5,1,0,0.01465822139479,0.010598062229377,0,0.0511345207411,0.27368788266741,0.064608558061178,0.031761171856472,0.013874427230402,0.211289032391742,0.063882482564301,0.270062875522211,,0.548945024688867,0.999846710110519,,0.847966560462903,0.073249874686735,0.313018664498037,,0.150040082876684
6,,0,0.019581033498835,0.012084567724154,0,0.064008227295909,0.339224579432355,0.079918017287721,0.037661944676868,0.015906210709494,0.243813011428113,0.0795316434946,,,0.618032401195907,1,,,0.081993445810271,0.375097483529144,,0.168288268954828
7,,0,0.02506104812606,0.012854667065397,1,0.065781118738298,0.41694803327444,0.089071302452185,0.041933124543942,0.018758578468989,0.270828157771246,0.083532282992291,,,0.727668798052399,,,,0.108147439993862,0.423351068629538,,0.172512308258714
8,,0,0.028725162188241,0.016131537370649,,0.081927204260645,0.50260801618048,0.110226713690424,0.047168646681669,0.022192558411599,0.32118026934329,0.104595979244118,,,0.760548394845429,,,,0.120595071227988,0.475740184047316,,0.197056764336759
9,,0,0.033581180756255,0.017873452165097,,0.088524636651247,0.536935178500205,0.118816893827695,0.050772323100734,0.026839460203371,0.366117833344842,0.110202847283543,,,0.795124014809874,,,,0.144052980027389,0.497266194536417,,0.21656092344983
10,,0,0.038401217535294,0.019128205113407,,0.096126691106327,0.591104996590706,0.128326793386531,0.056023707079328,0.027677791084671,0.378281421620614,0.121053807283404,,,0.875197013858065,,,,0.155656642904074,0.544518843879014,,0.257549946458463
11,,0,0.040244668849495,0.020920269681569,,0.109421284480724,0.607361343278503,0.139310566799801,0.061222834781107,0.029785415925755,0.408260641477805,0.132271563977321,,,0.918805405039822,,,,0.162656796504236,0.570200455951967,,0.293450011246394
12,,0,0.044577938023525,0.025210103766252,,0.117473994846846,0.631483242390314,0.15633466741886,0.063575758091804,0.036985670940037,0.421924203445041,0.141895355405318,,,0.96618747153496,,,,0.177082583109636,0.640967758239746,,0.304772614941741
13,,0,0.047789786011454,0.0258231554788,,0.126470282973875,0.644696508702452,0.172213470863188,0.069945358990292,0.037181383249824,0.469349694305987,0.145778373591994,,,0.982136363942678,,,,0.192877489636505,0.648873008232644,,0.337433225480354
14,,0,0.053961757919709,0.026885113418332,,0.136817713576255,0.672497482935223,0.19203013041009,0.07751422040831,0.042055030219256,0.505994916397212,0.166591093878447,,,0.99560487101562,,,,0.214159861743369,0.671630100926617,,0.367288285698074
