,B,L,A,Lm,Am,M,Ge,C,Le,P,Lem,Rm,R,model_id,timepoint
0,0.5307609999999999,0.5617909999999997,0.5884609999999992,0.612615999999999,0.42930900000000016,0.5838159999999984,0.7008089999999991,0.45334000000000024,0.6803799999999993,0.5124020000000008,0.32062700000000055,0.385338,0.4002500000000002,bn_411,0.0
1,0.6094470000000002,0.7402710000000008,0.753199000000001,0.7713740000000019,0.4818609999999994,0.6891830000000002,0.8898870000000016,0.2732509999999999,0.8796250000000015,0.5927670000000006,0.114648,0.22971799999999992,0.2606189999999998,bn_411,1.0
2,0.6906009999999998,0.8628449999999999,0.8663149999999996,0.8683889999999996,0.6383760000000006,0.7741399999999999,0.9592529999999996,0.13769700000000012,0.9553299999999997,0.6863110000000004,0.04450199999999998,0.14436500000000016,0.16839000000000034,bn_411,2.0
3,0.769135,0.9338799999999998,0.92983,0.9353340000000002,0.7785720000000002,0.8546559999999999,0.9852240000000002,0.06451300000000001,0.9869720000000002,0.7747820000000001,0.021415999999999998,0.08019799999999998,0.09473,bn_411,3.0
4,0.8415840000000002,0.9688350000000001,0.9671349999999999,0.9701230000000001,0.8742620000000002,0.9092460000000001,0.9929960000000002,0.031727000000000005,0.9949050000000004,0.8443500000000003,0.009349,0.04554299999999999,0.051012000000000016,bn_411,4.0
5,0.8972480000000002,0.9875370000000006,0.9839220000000003,0.9861850000000004,0.9309490000000004,0.9447020000000004,0.9967600000000005,0.013179000000000001,0.9980760000000006,0.8928450000000001,0.003531,0.024879000000000002,0.027689000000000002,bn_411,5.0
6,0.9393170000000001,0.995445,0.9927750000000001,0.994778,0.9645450000000001,0.9710110000000001,0.9984219999999999,0.003608,0.999503,0.9288350000000001,0.001618,0.011235000000000002,0.012858,bn_411,6.0
7,0.9636380000000001,0.9975100000000001,0.9974210000000001,0.9973900000000001,0.9824140000000001,0.9828330000000001,0.998998,0.001944,0.9994980000000001,0.9602,0.0005,0.0075390000000000006,0.005779000000000001,bn_411,7.0
8,0.976561,0.9988379999999999,0.9988799999999999,0.999491,0.9919189999999999,0.988773,0.998999,0.0011870000000000001,0.999846,0.979725,0.0005,0.004103,0.0022199999999999998,bn_411,8.0
9,0.9859060000000001,0.9995030000000001,0.9996630000000001,1.000003,0.9959590000000003,0.9941150000000001,0.9998450000000001,0.00035999999999999997,1.000003,0.987219,0.000472,0.0015329999999999999,0.000776,bn_411,9.0
