,Ae,T,A,Aem,Am,Ara_minus,Ara_plus,Ge,C,MS,E,L,MT,model_id,timepoint
0,0.316999,0.5516839999999995,0.5627409999999993,0.3197249999999999,0.41117399999999926,0.683929000000001,0.590318999999999,0.6807420000000003,0.44686999999999905,0.40040899999999924,0.45877499999999916,0.40538399999999947,0.6127899999999993,bn_411,0.0
1,0.11315500000000006,0.6479259999999993,0.6335360000000002,0.120524,0.24159100000000022,0.881729999999999,0.7556140000000005,0.877279999999999,0.28324500000000014,0.29131699999999977,0.3609519999999995,0.2709779999999999,0.7486059999999998,bn_411,1.0
2,0.04262200000000002,0.743306,0.6821230000000003,0.046097,0.12265599999999995,0.9550930000000001,0.8756460000000001,0.9557110000000002,0.15631299999999998,0.21399100000000004,0.2820710000000001,0.169908,0.8263840000000001,bn_411,2.0
3,0.018236000000000006,0.8204490000000001,0.7563700000000002,0.014630999999999998,0.056944999999999996,0.9832140000000006,0.9432710000000001,0.9838560000000004,0.07074399999999999,0.13719100000000004,0.21287899999999993,0.101,0.8909270000000001,bn_411,3.0
4,0.008755,0.8872409999999997,0.825321,0.004295,0.027932000000000002,0.9919969999999998,0.9684859999999997,0.9947989999999998,0.031692,0.07609199999999998,0.142343,0.05449299999999999,0.9364339999999998,bn_411,4.0
5,0.001382,0.931494,0.879479,0.0015419999999999998,0.01332,0.998442,0.9857090000000001,0.997923,0.014126,0.041306999999999996,0.08906099999999999,0.031481999999999996,0.9633510000000001,bn_411,5.0
6,0.0005,0.9576419999999999,0.9239709999999999,0.000723,0.006256000000000001,0.9999689999999998,0.9944559999999998,0.9995389999999997,0.007051,0.019170000000000003,0.05378999999999999,0.017419,0.9805909999999999,bn_411,6.0
7,0.000351,0.976134,0.9514529999999999,1.8e-05,0.002184,1.000001,0.9985979999999999,1.000001,0.002555,0.009814,0.028169999999999997,0.008057,0.9900609999999999,bn_411,7.0
8,0.0,0.9878039999999999,0.9718899999999999,0.0,0.0005,1.0000019999999998,0.9996479999999999,1.0000019999999998,0.000747,0.0032199999999999998,0.011955,0.0037800000000000004,0.9957349999999998,bn_411,8.0
9,0.0,0.9938159999999999,0.9870789999999999,0.0,0.000133,0.999999,0.999999,0.999999,0.0,0.000768,0.004926,0.002052,0.998402,bn_411,9.0
10,0.0,0.996997,0.992251,0.0,0.0,1.000001,1.000001,1.000001,0.0,7.6e-05,0.0015309999999999998,0.000346,0.998989,bn_411,10.0
11,0.0,0.998568,0.99672,0.0,0.0,0.999999,0.999999,0.999999,0.0,0.0,0.000422,0.0,0.999499,bn_411,11.0
12,0.0,0.9995,0.9985,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.9995,bn_411,12.0
13,0.0,0.9995700000000001,0.999163,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.999978,bn_411,13.0
14,0.0,1.0,0.999612,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,bn_411,14.0
15,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,bn_411,15.0
