,cluster
bn0,0
bn1,2
bn10,0
bn100,1
bn101,2
bn102,0
bn103,1
bn104,1
bn105,0
bn106,3
bn107,0
bn108,2
bn109,3
bn11,1
bn110,1
bn111,1
bn112,0
bn113,0
bn114,2
bn115,3
bn116,3
bn117,2
bn118,1
bn119,3
bn12,0
bn120,1
bn121,1
bn122,1
bn123,1
bn124,2
bn125,2
bn126,1
bn127,0
bn128,1
bn129,0
bn13,0
bn130,1
bn131,0
bn132,2
bn133,2
bn134,1
bn135,2
bn136,0
bn137,0
bn138,0
bn139,3
bn14,3
bn140,3
bn141,3
bn142,2
bn143,0
bn144,1
bn145,2
bn146,0
bn147,1
bn148,1
bn149,3
bn15,1
bn150,0
bn151,1
bn152,1
bn153,3
bn154,3
bn155,1
bn156,1
bn157,2
bn158,2
bn159,1
bn16,1
bn160,1
bn161,0
bn162,0
bn163,0
bn164,2
bn165,3
bn166,3
bn167,0
bn168,3
bn169,1
bn17,0
bn170,0
bn171,1
bn172,2
bn173,2
bn174,1
bn175,2
bn176,1
bn177,3
bn178,1
bn179,1
bn18,1
bn180,2
bn181,2
bn182,1
bn183,0
bn184,1
bn185,0
bn186,0
bn187,2
bn188,3
bn189,3
bn19,3
bn190,3
bn191,3
bn192,0
bn193,0
bn194,0
bn195,1
bn196,2
bn197,2
bn198,0
bn199,0
bn2,2
bn20,1
bn200,2
bn201,1
bn202,3
bn203,2
bn204,2
bn205,1
bn206,2
bn207,3
bn208,3
bn209,2
bn21,0
bn210,1
bn211,3
bn212,3
bn213,3
bn214,3
bn215,3
bn216,0
bn217,1
bn218,1
bn219,1
bn22,2
bn220,3
bn221,3
bn222,0
bn223,0
bn224,3
bn225,0
bn226,2
bn227,3
bn228,2
bn229,2
bn23,0
bn230,3
bn231,1
bn232,0
bn233,2
bn234,3
bn235,0
bn236,2
bn237,3
bn238,1
bn239,2
bn24,2
bn240,1
bn241,1
bn242,3
bn243,0
bn244,0
bn245,1
bn246,2
bn247,3
bn248,1
bn249,0
bn25,3
bn250,3
bn251,2
bn252,2
bn253,2
bn254,2
bn255,2
bn256,2
bn257,1
bn258,2
bn259,3
bn26,3
bn260,1
bn261,0
bn262,2
bn263,3
bn264,2
bn265,1
bn266,0
bn267,3
bn268,3
bn269,1
bn27,3
bn270,0
bn271,1
bn272,1
bn273,2
bn274,1
bn275,1
bn276,0
bn277,2
bn278,2
bn279,2
bn28,3
bn280,2
bn281,2
bn282,2
bn283,1
bn284,1
bn285,0
bn286,3
bn287,3
bn288,0
bn289,3
bn29,1
bn290,3
bn291,2
bn292,2
bn293,1
bn294,1
bn295,1
bn296,3
bn297,1
bn298,1
bn299,1
bn3,0
bn30,3
bn300,0
bn301,2
