,Myc,Bclaf1,CDK46CycD,Junb,CIPKIP,Gata2,Ikzf1,Spi1,Cebpa,Egr1,Gata1,Klf1,Fli1,Zfpm1,Tal1,model_id,timepoint
0,0.05321900000000003,0.6491179999999999,0.013120999999999997,0.013687000000000001,0.003299,0.7883629999999999,0.30991999999999986,0.003318,0.23317800000000005,0.0023859999999999997,0.351502,0.016021999999999998,0.7270980000000002,0.41969099999999987,0.7335960000000008,bn168,0.0
1,0.10550599999999993,0.30254499999999934,0.062461000000000017,0.06420699999999999,0.026605000000000007,0.4513809999999998,0.48511299999999974,0.011928999999999997,0.23530500000000037,0.017447000000000008,0.695588,0.08470299999999999,0.6149049999999998,0.5258940000000003,0.6412490000000003,bn168,1.0
2,0.07797600000000007,0.16629500000000008,0.08148900000000008,0.08503700000000006,0.05893099999999999,0.23998100000000028,0.3853739999999997,0.013706000000000001,0.12272700000000009,0.027467000000000002,0.7935450000000003,0.12851500000000005,0.6549960000000004,0.6755310000000003,0.717412,bn168,2.0
3,0.04424200000000004,0.09590699999999999,0.06787200000000002,0.07497299999999996,0.07371499999999999,0.11820300000000011,0.24375700000000006,0.013566999999999997,0.05476500000000004,0.02467200000000002,0.8194240000000005,0.1376990000000001,0.6879990000000006,0.7631390000000003,0.7746860000000008,bn168,3.0
4,0.024735000000000014,0.05195399999999997,0.04768799999999997,0.05676299999999999,0.067285,0.05677600000000001,0.13662100000000002,0.012612000000000002,0.028389,0.017515000000000013,0.8238790000000004,0.13240699999999997,0.7005620000000001,0.8009560000000001,0.8058260000000006,bn168,4.0
5,0.014296999999999997,0.03054700000000001,0.030025000000000017,0.039203,0.053591,0.026287,0.072285,0.011578999999999997,0.018752000000000005,0.010124999999999999,0.823001,0.12515799999999996,0.7064069999999999,0.8142550000000001,0.8144650000000001,bn168,5.0
6,0.007697999999999999,0.019614,0.017036999999999997,0.024903999999999996,0.04044999999999999,0.012473999999999999,0.038571000000000015,0.010473,0.013793999999999999,0.006233000000000001,0.820834,0.11834800000000001,0.7090420000000001,0.8191240000000002,0.8187270000000001,bn168,6.0
7,0.004036,0.011206,0.010254000000000003,0.015575000000000002,0.026255999999999998,0.005032999999999999,0.018909,0.010000000000000002,0.011016000000000003,0.003875,0.8198610000000002,0.11354499999999998,0.7098000000000001,0.8204060000000001,0.8197970000000001,bn168,7.0
8,0.0021279999999999997,0.0061340000000000006,0.006228999999999999,0.008704000000000002,0.016076999999999998,0.002496,0.008319,0.009916999999999999,0.010153999999999998,0.0017989999999999998,0.81921,0.11076399999999999,0.7097990000000001,0.8204060000000001,0.8197289999999999,bn168,8.0
9,0.000871,0.0030410000000000003,0.0028899999999999998,0.0048400000000000006,0.009935999999999999,0.001056,0.0038130000000000004,0.0098,0.009942999999999999,0.000985,0.8192019999999999,0.10980000000000001,0.709802,0.82023,0.819371,bn168,9.0
10,0.000461,0.001683,0.001405,0.0022180000000000004,0.0055320000000000005,0.00045700000000000005,0.001873,0.00972,0.0098,0.000601,0.8191989999999998,0.109629,0.709799,0.8197809999999998,0.8191179999999999,bn168,10.0
11,0.000124,0.0008910000000000001,0.0006180000000000001,0.001275,0.002772,5.4e-05,0.000794,0.0096,0.00971,0.000247,0.8190959999999998,0.10957700000000001,0.7097989999999998,0.8195119999999998,0.8189319999999999,bn168,11.0
12,0.0,0.0004,0.0,0.000519,0.0017239999999999998,0.0,0.000255,0.0096,0.0096,0.0,0.819,0.109386,0.7098,0.8194,0.8190459999999999,bn168,12.0
13,0.0,0.000338,0.0,0.000193,0.000585,0.0,0.0,0.0096,0.0096,0.0,0.8189989999999999,0.1092,0.709799,0.8192889999999999,0.8189989999999999,bn168,13.0
14,0.0,0.0002,0.0,0.0,0.000244,0.0,0.0,0.0096,0.0096,0.0,0.819,0.1092,0.7098,0.8192,0.819,bn168,14.0
15,0.0,3.8e-05,0.0,0.0,0.0,0.0,0.0,0.0096,0.0096,0.0,0.819,0.1092,0.7098,0.819061,0.819,bn168,15.0
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0096,0.0096,0.0,0.819,0.1092,0.7098,0.819,0.819,bn168,16.0
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0096,0.0096,0.0,0.819,0.1092,0.7098,0.819,0.819,bn168,17.0
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0096,0.0096,0.0,0.819,0.1092,0.7098,0.819,0.819,bn168,18.0
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0096,0.0096,0.0,0.819,0.1092,0.7098,0.819,0.819,bn168,19.0
20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0096,0.0096,0.0,0.819,0.1092,0.7098,0.819,0.819,bn168,20.0
21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0096,0.0096,0.0,0.819,0.1092,0.7098,0.819,0.819,bn168,21.0
22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0096,0.0096,0.0,0.819,0.1092,0.7098,0.819,0.819,bn168,22.0
23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0096,0.0096,0.0,0.819,0.1092,0.7098,0.819,0.819,bn168,23.0
24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0096,0.0096,0.0,0.819,0.1092,0.7098,0.819,0.819,bn168,24.0
25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0096,0.0096,0.0,0.819,0.1092,0.7098,0.819,0.819,bn168,25.0
26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0096,0.0096,0.0,0.819,0.1092,0.7098,0.819,0.819,bn168,26.0
