model_id,Cluster,Attractor
bn_0,10,31
bn_1,56,4
bn_10,23,4
bn_100,7,59
bn_1000,4,64
bn_1001,41,54
bn_1002,29,35
bn_1003,17,34
bn_1004,4,9
bn_1005,45,52
bn_1006,4,64
bn_1007,62,45
bn_1008,29,35
bn_1009,17,22
bn_101,7,59
bn_1010,4,9
bn_1011,63,71
bn_1012,59,14
bn_1013,38,40
bn_1014,12,11
bn_1015,70,7
bn_1016,69,6
bn_1017,32,60
bn_1018,59,14
bn_1019,54,28
bn_102,3,4
bn_1020,12,11
bn_1021,22,2
bn_1022,69,6
bn_1023,49,17
bn_1024,31,50
bn_1025,7,59
bn_1026,19,29
bn_1027,31,50
bn_1028,7,59
bn_1029,19,29
bn_103,3,4
bn_1030,46,21
bn_1031,3,4
bn_1032,27,15
bn_1033,46,21
bn_1034,3,4
bn_1035,27,15
bn_1036,31,50
bn_1037,7,59
bn_1038,19,29
bn_1039,31,50
bn_104,21,13
bn_1040,7,59
bn_1041,19,29
bn_1042,46,21
bn_1043,3,4
bn_1044,27,15
bn_1045,46,21
bn_1046,3,4
bn_1047,27,15
bn_1048,13,8
bn_1049,21,13
bn_105,21,13
bn_1050,65,12
bn_1051,13,8
bn_1052,21,13
bn_1053,65,12
bn_1054,6,21
bn_1055,56,4
bn_1056,48,15
bn_1057,6,21
bn_1058,56,4
bn_1059,48,15
bn_106,56,4
bn_1060,13,8
bn_1061,21,13
bn_1062,65,12
bn_1063,13,8
bn_1064,21,13
bn_1065,65,12
bn_1066,6,21
bn_1067,56,4
bn_1068,48,15
bn_1069,6,21
bn_107,56,4
bn_1070,56,4
bn_1071,48,15
bn_1072,47,1
bn_1073,74,49
bn_1074,39,42
bn_1075,66,66
bn_1076,28,53
bn_1077,53,63
bn_1078,47,1
bn_1079,74,47
bn_108,21,13
bn_1080,39,42
bn_1081,66,72
bn_1082,28,53
bn_1083,53,58
bn_1084,5,14
bn_1085,15,40
bn_1086,52,11
bn_1087,42,7
bn_1088,71,6
bn_1089,57,60
bn_109,21,13
bn_1090,5,14
bn_1091,51,5
bn_1092,52,11
bn_1093,34,2
bn_1094,71,6
bn_1095,0,17
bn_1096,11,41
bn_1097,26,48
bn_1098,25,46
bn_1099,16,57
bn_11,23,4
bn_110,56,4
bn_1100,11,25
bn_1101,30,43
bn_1102,11,41
bn_1103,26,38
bn_1104,25,46
bn_1105,16,19
bn_1106,11,25
bn_1107,30,55
bn_1108,24,14
bn_1109,67,40
bn_111,56,4
bn_1110,33,11
bn_1111,42,7
bn_1112,44,6
bn_1113,57,60
bn_1114,24,14
bn_1115,15,5
bn_1116,33,11
bn_1117,22,2
bn_1118,44,6
bn_1119,49,17
bn_112,39,42
bn_1120,31,50
bn_1121,7,59
bn_1122,19,29
bn_1123,31,50
bn_1124,7,59
bn_1125,19,29
bn_1126,46,21
bn_1127,3,4
bn_1128,27,15
bn_1129,46,21
bn_113,66,66
bn_1130,3,4
bn_1131,27,15
bn_1132,31,50
bn_1133,7,59
bn_1134,19,29
bn_1135,31,50
bn_1136,7,59
bn_1137,19,29
bn_1138,46,21
bn_1139,3,4
bn_114,39,42
bn_1140,27,15
bn_1141,46,21
bn_1142,3,4
bn_1143,27,15
bn_1144,13,8
bn_1145,21,13
bn_1146,65,12
bn_1147,13,8
bn_1148,21,13
bn_1149,65,12
bn_115,66,72
bn_1150,6,21
bn_1151,56,4
bn_1152,48,15
bn_1153,6,21
bn_1154,56,4
bn_1155,27,15
bn_1156,13,8
bn_1157,21,13
bn_1158,65,12
bn_1159,13,8
bn_116,52,11
bn_1160,21,13
bn_1161,65,12
bn_1162,6,21
bn_1163,56,4
bn_1164,48,15
bn_1165,6,21
bn_1166,56,4
bn_1167,48,15
bn_1168,47,1
bn_1169,74,49
bn_117,42,7
bn_1170,39,42
bn_1171,66,66
bn_1172,28,53
bn_1173,53,63
bn_1174,47,1
bn_1175,8,68
bn_1176,39,42
bn_1177,66,72
bn_1178,28,53
bn_1179,53,58
bn_118,52,11
bn_1180,5,14
bn_1181,15,40
bn_1182,52,11
bn_1183,42,7
bn_1184,71,6
bn_1185,57,60
bn_1186,5,14
bn_1187,51,28
bn_1188,52,11
bn_1189,34,2
bn_119,34,2
bn_1190,71,6
bn_1191,0,17
bn_1192,11,41
bn_1193,26,48
bn_1194,25,46
bn_1195,16,57
bn_1196,11,25
bn_1197,30,43
bn_1198,11,41
bn_1199,26,74
bn_12,14,10
bn_120,25,46
bn_1200,25,46
bn_1201,16,19
bn_1202,11,25
bn_1203,30,55
bn_1204,24,14
bn_1205,67,40
bn_1206,33,11
bn_1207,42,7
bn_1208,44,6
bn_1209,57,60
bn_121,16,57
bn_1210,24,14
bn_1211,68,28
bn_1212,33,11
bn_1213,22,2
bn_1214,44,6
bn_1215,49,17
bn_1216,10,31
bn_1217,10,31
bn_1218,56,4
bn_1219,56,4
bn_122,25,46
bn_1220,10,31
bn_1221,10,31
bn_1222,56,4
bn_1223,56,4
bn_1224,14,10
bn_1225,14,10
bn_1226,23,4
bn_1227,23,4
bn_1228,14,10
bn_1229,14,10
bn_123,16,19
bn_1230,23,4
bn_1231,23,4
bn_1232,2,39
bn_1233,55,61
bn_1234,2,39
bn_1235,35,73
bn_1236,33,11
bn_1237,42,7
bn_1238,33,11
bn_1239,64,32
bn_124,33,11
bn_1240,29,35
bn_1241,17,34
bn_1242,29,35
bn_1243,58,67
bn_1244,12,11
bn_1245,70,7
bn_1246,12,11
bn_1247,64,32
bn_1248,7,59
bn_1249,7,59
bn_125,42,7
bn_1250,3,4
bn_1251,3,4
bn_1252,7,59
