,cluster
Invasion_0,2
Invasion_1,2
Invasion_2,2
Invasion_3,4
Invasion_4,2
Invasion_5,4
Invasion_6,1
Invasion_7,2
Invasion_8,5
Invasion_9,3
Invasion_10,2
Invasion_11,4
Invasion_12,4
Invasion_13,4
Invasion_14,3
Invasion_15,3
Invasion_16,2
Invasion_17,5
Invasion_18,2
Invasion_19,3
Invasion_20,3
Invasion_21,2
Invasion_22,4
Invasion_23,2
Invasion_24,2
Invasion_25,5
Invasion_26,2
Invasion_27,4
Invasion_28,1
Invasion_29,4
Invasion_30,4
Invasion_31,4
Invasion_32,2
Invasion_33,4
Invasion_34,2
Invasion_35,4
Invasion_36,2
Invasion_37,3
Invasion_38,3
Invasion_39,2
Invasion_40,2
Invasion_41,3
Invasion_42,3
Invasion_43,4
Invasion_44,2
Invasion_45,3
Invasion_46,2
Invasion_47,2
Invasion_48,2
Invasion_49,3
Invasion_50,4
Invasion_51,4
Invasion_52,3
Invasion_53,3
Invasion_54,4
Invasion_55,3
Invasion_56,4
Invasion_57,2
Invasion_58,3
Invasion_59,5
Invasion_60,3
Invasion_61,3
Invasion_62,3
Invasion_63,2
Invasion_64,3
Invasion_65,2
Invasion_66,3
Invasion_67,3
Invasion_68,3
Invasion_69,3
Invasion_70,3
Invasion_71,3
Invasion_72,2
Invasion_73,3
Invasion_74,3
Invasion_75,3
Invasion_76,5
Invasion_77,3
Invasion_78,3
Invasion_79,3
Invasion_80,2
Invasion_81,3
Invasion_82,2
Invasion_83,3
Invasion_84,3
Invasion_85,5
Invasion_86,2
Invasion_87,5
Invasion_88,2
Invasion_89,5
Invasion_90,2
Invasion_91,3
Invasion_92,3
Invasion_93,4
Invasion_94,3
Invasion_95,4
Invasion_96,2
Invasion_97,3
Invasion_98,2
Invasion_99,2
Invasion_100,3
Invasion_101,2
Invasion_102,3
Invasion_103,4
Invasion_104,3
Invasion_105,3
Invasion_106,2
Invasion_107,4
Invasion_108,3
Invasion_109,4
Invasion_110,4
Invasion_111,4
Invasion_112,2
Invasion_113,2
Invasion_114,4
Invasion_115,4
Invasion_116,2
Invasion_117,3
Invasion_118,4
Invasion_119,4
Invasion_120,2
Invasion_121,4
Invasion_122,4
Invasion_123,4
Invasion_124,4
Invasion_125,4
Invasion_126,4
Invasion_127,2
Invasion_128,4
Invasion_129,3
Invasion_130,4
Invasion_131,4
Invasion_132,4
Invasion_133,4
Invasion_134,2
Invasion_135,4
Invasion_136,4
Invasion_137,2
Invasion_138,5
Invasion_139,4
Invasion_140,2
Invasion_141,4
Invasion_142,4
Invasion_143,5
Invasion_144,4
Invasion_145,4
Invasion_146,4
Invasion_147,4
Invasion_148,2
Invasion_149,4
Invasion_150,2
Invasion_151,2
Invasion_152,2
Invasion_153,3
Invasion_154,2
Invasion_155,4
Invasion_156,4
Invasion_157,4
Invasion_158,4
Invasion_159,4
Invasion_160,4
Invasion_161,4
Invasion_162,4
Invasion_163,2
Invasion_164,4
Invasion_165,2
Invasion_166,4
Invasion_167,2
Invasion_168,4
Invasion_169,4
Invasion_170,4
Invasion_171,2
Invasion_172,4
Invasion_173,4
Invasion_174,4
Invasion_175,4
Invasion_176,2
Invasion_177,3
Invasion_178,2
Invasion_179,4
Invasion_180,3
Invasion_181,2
Invasion_182,4
Invasion_183,4
