,Cluster
bn168,1
bn602,1
bn157,1
bn45,4
bn8,1
bn109,2
bn307,1
bn12,1
bn530,2
bn321,1
bn547,2
bn487,1
bn408,1
bn404,1
bn566,1
bn494,2
bn580,2
bn65,1
bn122,3
bn421,1
bn170,3
bn42,1
bn351,1
bn553,1
bn186,4
bn326,1
bn238,4
bn131,4
bn212,2
bn499,2
bn369,2
bn383,1
bn250,1
bn572,3
bn341,1
bn60,4
bn215,2
bn391,1
bn206,1
bn116,2
bn224,1
bn465,4
bn100,1
bn271,4
bn571,2
bn542,4
bn442,1
bn534,1
bn70,1
bn588,1
bn434,1
bn28,2
bn436,1
bn457,1
bn301,1
bn455,2
bn138,3
bn389,1
bn150,1
bn384,2
bn63,2
bn416,1
bn73,4
bn309,2
bn515,1
bn305,1
bn493,1
bn87,1
bn207,1
bn58,2
bn118,1
bn578,1
bn500,1
bn189,2
bn450,2
bn523,2
bn255,2
bn125,1
bn320,3
bn261,3
bn381,1
bn370,1
bn587,2
bn254,2
bn374,4
bn105,3
bn244,4
bn74,3
bn135,1
bn99,3
bn11,3
bn430,2
bn611,2
bn226,1
bn158,2
bn498,1
bn235,3
bn334,1
bn417,2
bn120,3
bn316,2
bn30,2
bn368,1
bn288,3
bn609,1
bn400,4
bn249,3
bn110,1
bn382,2
bn199,3
bn16,1
bn362,1
bn88,1
bn490,4
bn388,1
bn460,1
bn222,1
bn201,1
bn141,2
bn375,4
bn3,1
bn177,2
bn279,1
bn205,3
bn600,1
bn294,1
bn345,1
bn179,4
bn476,1
bn449,3
bn352,2
bn41,2
bn32,3
bn557,3
bn85,2
bn454,1
bn227,1
bn584,3
bn128,4
bn412,1
bn82,2
bn482,1
bn53,1
bn237,1
bn533,1
bn91,2
bn62,1
bn101,2
bn396,1
bn4,2
bn298,1
bn111,1
bn236,2
bn39,1
bn297,4
bn411,1
bn610,1
bn64,1
bn453,1
bn156,3
bn509,1
bn123,1
bn27,1
bn61,3
bn601,3
bn574,1
bn606,1
bn273,1
bn540,1
bn139,2
bn7,3
bn162,3
bn495,1
bn537,2
bn97,3
bn290,1
bn431,1
bn14,2
bn230,1
bn57,1
bn144,1
bn603,1
bn173,1
bn451,2
bn485,1
bn178,4
bn311,1
bn130,4
bn246,1
bn489,1
bn608,3
bn461,2
bn267,1
bn349,4
bn486,2
bn20,3
bn473,1
bn318,4
bn429,1
bn197,1
bn339,4
bn427,3
bn300,1
bn263,1
bn501,1
bn340,2
bn445,1
bn462,1
bn475,2
bn18,4
bn546,1
bn507,1
bn54,2
bn104,1
bn159,3
bn192,3
bn176,4
bn95,1
bn551,2
bn223,3
bn333,2
bn160,4
bn175,2
bn397,2
bn615,3
bn161,1
bn562,1
bn152,3
bn373,4
bn592,3
bn432,2
bn539,1
bn468,1
bn166,2
bn328,1
bn392,2
bn25,1
bn402,1
bn573,1
bn390,1
bn599,1
bn24,2
bn470,4
bn367,2
bn204,2
bn488,2
bn458,1
bn137,4
bn242,2
bn541,1
bn67,4
bn38,4
bn314,2
bn343,1
bn293,4
bn29,4
bn513,3
bn423,4
bn522,2
bn164,2
bn567,4
bn556,2
bn289,2
bn355,1
bn319,1
bn145,2
bn613,1
bn467,1
bn428,1
bn245,1
bn72,4
bn596,2
bn231,1
bn516,1
bn348,3
bn324,1
bn127,4
bn98,3
bn395,1
bn483,1
bn479,1
bn480,2
bn229,2
bn240,1
bn560,2
bn140,1
bn136,1
bn252,2
bn517,3
bn598,1
bn607,1
bn536,1
bn401,1
bn466,3
bn332,2
bn50,4
bn529,2
bn209,2
bn31,4
bn132,2
bn544,1
bn5,1
bn296,2
bn405,3
bn295,1
bn492,1
bn49,4
bn491,3
bn317,1
bn196,1
bn503,2
bn90,4
bn464,1
bn543,1
bn313,4
bn35,1
bn322,3
bn575,1
bn37,4
bn119,2
bn591,1
bn304,1
bn439,2
bn478,1
bn524,1
bn527,2
bn203,2
bn337,2
bn586,2
bn154,1
bn565,2
bn440,2
bn0,3
bn422,4
bn282,2
bn550,1
bn380,3
bn443,3
bn81,3
bn83,2
bn506,2
bn169,1
bn593,1
bn257,1
bn410,2
bn456,3
bn228,2
bn548,3
bn387,1
bn79,4
bn604,2
bn185,1
