,cluster
bn168,6
bn602,7
bn157,6
bn45,3
bn8,8
bn109,1
bn307,5
bn12,8
bn530,4
bn321,8
bn547,2
bn487,8
bn408,8
bn404,8
bn566,7
bn494,3
bn580,4
bn65,5
bn122,4
bn421,7
bn170,3
bn42,8
bn351,7
bn553,7
bn186,4
bn326,6
bn238,3
bn131,3
bn212,4
bn499,2
bn369,3
bn383,6
bn250,8
bn572,3
bn341,7
bn60,2
bn215,4
bn391,8
bn206,6
bn116,2
bn224,8
bn465,4
bn100,6
bn271,4
bn571,1
bn542,4
bn442,6
bn534,7
bn70,8
bn588,6
bn434,6
bn28,2
bn436,8
bn457,6
bn301,8
bn455,2
bn138,1
bn389,6
bn150,8
bn384,3
bn63,1
bn416,6
bn73,4
bn309,4
bn515,8
bn305,5
bn493,7
bn87,8
bn207,7
bn58,4
bn118,6
bn578,7
bn500,7
bn189,2
bn450,4
bn523,4
bn255,2
bn125,8
bn320,4
bn261,2
bn381,5
bn370,6
bn587,4
bn254,4
bn374,2
bn105,4
bn244,2
bn74,2
bn135,6
bn99,2
bn11,4
bn430,2
bn611,4
bn226,8
bn158,2
bn498,8
bn235,4
bn334,5
bn417,3
bn120,1
bn316,2
bn30,3
bn368,8
bn288,2
bn609,6
bn400,2
bn249,2
bn110,8
bn382,4
bn199,4
bn16,8
bn362,6
bn88,5
bn490,4
bn388,6
bn460,8
bn222,6
bn201,8
bn141,2
bn375,4
bn3,8
bn177,3
bn279,8
bn205,2
bn600,6
bn294,8
bn345,6
bn179,4
bn476,6
bn449,3
bn352,1
bn41,1
bn32,4
bn557,4
bn85,2
bn454,5
bn227,5
bn584,2
bn128,4
bn412,5
bn82,2
bn482,7
bn53,8
bn237,8
bn533,5
bn91,3
bn62,6
bn101,1
bn396,7
bn4,4
bn298,8
bn111,5
bn236,2
bn39,6
bn297,4
bn411,6
bn610,8
bn64,7
bn453,7
bn156,4
bn509,8
bn123,6
bn27,5
bn61,4
bn601,2
bn574,8
bn606,8
bn273,8
bn540,8
bn139,4
bn7,2
bn162,3
bn495,8
bn537,4
bn97,1
bn290,8
bn431,7
bn14,1
bn230,5
bn57,8
bn144,8
bn603,8
bn173,8
bn451,2
bn485,8
bn178,2
bn311,7
bn130,2
bn246,7
bn489,5
bn608,2
bn461,2
bn267,6
bn349,2
bn486,4
bn20,3
bn473,8
bn318,1
bn429,8
bn197,5
bn339,2
bn427,2
bn300,8
bn263,8
bn501,6
bn340,2
bn445,7
bn462,6
bn475,4
bn18,1
bn546,6
bn507,8
bn54,4
bn104,8
bn159,2
bn192,3
bn176,3
bn95,8
bn551,3
bn223,4
bn333,4
bn160,3
bn175,2
bn397,2
bn615,4
bn161,6
bn562,8
bn152,4
bn373,2
bn592,3
bn432,4
bn539,8
bn468,7
bn166,2
bn328,6
bn392,1
bn25,8
bn402,7
bn573,8
bn390,8
bn599,7
bn24,4
bn470,3
bn367,3
bn204,2
bn488,2
bn458,7
bn137,1
bn242,4
bn541,8
bn67,3
bn38,4
bn314,4
bn343,6
bn293,1
bn29,1
bn513,4
bn423,4
bn522,4
bn164,4
bn567,4
bn556,4
bn289,4
bn355,6
bn319,6
bn145,4
bn613,6
bn467,7
bn428,5
bn245,7
bn72,1
bn596,1
bn231,6
bn516,7
bn348,4
bn324,8
bn127,4
bn98,4
bn395,6
bn483,6
bn479,6
bn480,2
bn229,2
bn240,6
bn560,2
bn140,6
bn136,8
bn252,4
bn517,4
bn598,5
bn607,5
bn536,8
bn401,7
bn466,4
bn332,4
bn50,2
bn529,4
bn209,4
bn31,3
bn132,4
bn544,7
bn5,8
bn296,2
bn405,4
bn295,6
bn492,8
bn49,2
bn491,3
bn317,8
bn196,7
bn503,2
bn90,4
bn464,6
bn543,6
bn313,2
bn35,8
bn322,2
bn575,8
bn37,4
bn119,3
bn591,6
bn304,6
bn439,3
bn478,7
bn524,8
bn527,2
bn203,1
bn337,4
bn586,3
bn154,7
bn565,3
bn440,4
bn0,4
bn422,2
bn282,3
bn550,5
bn380,4
bn443,3
bn81,4
bn83,4
bn506,3
bn169,6
bn593,8
bn257,6
bn410,2
bn456,2
bn228,3
bn548,3
bn387,5
bn79,4
bn604,3
bn185,7
bn559,8
bn342,4
bn407,8
bn80,8
bn253,6
bn172,7
bn268,2
bn448,8
bn398,2
bn576,4
bn75,6
bn283,5
bn399,4
bn211,8
bn525,2
bn338,6
bn444,3
bn612,8
bn9,2
bn452,8
bn354,2
bn406,7
bn46,3
bn96,8
bn194,4
bn425,3
bn26,4
bn308,4
bn10,8
bn521,1
bn579,2
bn270,7
bn447,3
bn303,2
bn568,1
bn13,2
bn589,4
bn21,5
bn148,6
bn36,3
bn181,2
bn191,4
bn260,2
bn184,3
bn510,2
bn353,5
bn581,6
bn269,4
bn532,8
bn23,3
bn471,8
bn519,4
bn299,2
bn155,4
bn44,1
bn134,4
bn129,8
bn564,7
bn106,4
bn33,8
bn167,6
bn93,6
bn233,8
bn323,8
bn528,8
bn558,4
bn149,4
bn595,4
bn597,7
bn552,3
bn183,2
bn287,2
bn549,8
bn306,8
bn277,6
bn545,4
bn193,4
bn112,8
bn146,2
bn415,8
bn86,1
bn514,8
bn512,1
bn585,8
bn210,3
bn107,3
bn315,6
bn34,3
bn469,7
bn594,8
bn55,4
bn518,8
bn377,8
bn379,8
bn218,4
bn441,8
bn259,5
bn115,6
bn393,8
bn386,5
bn394,4
bn302,6
bn459,1
bn265,4
bn171,6
bn426,6
bn40,1
bn256,6
bn614,4
bn347,4
bn143,8
bn165,6
bn329,7
bn511,2
bn180,8
bn239,4
bn371,8
bn331,6
bn563,4
bn182,2
bn284,8
bn84,3
bn2,4
bn276,1
bn497,8
bn366,6
bn133,2
bn6,4
bn554,6
bn202,5
bn357,8
bn278,1
bn336,8
bn59,4
bn92,4
bn52,4
bn414,8
bn77,8
bn365,8
bn526,6
bn363,8
bn281,3
bn47,8
bn361,6
bn153,4
bn280,6
bn330,4
bn108,2
bn335,7
bn17,8
bn496,4
bn68,2
bn76,3
bn114,4
bn378,5
bn219,8
bn359,4
bn266,5
bn216,7
bn292,1
bn151,8
bn350,6
bn142,6
bn424,8
bn225,5
bn232,6
bn124,3
bn286,5
bn372,6
bn275,6
bn113,1
bn327,2
bn583,4
bn1,4
bn438,6
bn56,7
bn344,8
bn505,8
bn385,2
bn214,7
bn187,4
bn248,6
bn251,5
bn419,4
bn474,4
bn163,4
bn174,7
bn535,4
bn590,4
bn94,1
bn472,1
bn420,6
bn570,7
bn71,6
bn190,7
bn484,3
bn433,8
bn195,6
bn147,4
bn481,8
bn437,8
bn51,3
bn463,2
bn19,8
bn48,5
bn577,4
bn403,1
bn43,7
bn605,3
bn409,7
bn538,8
bn103,3
bn413,2
bn569,8
bn69,6
bn520,8
bn247,1
bn198,6
bn221,5
bn312,7
bn435,2
bn272,8
bn208,2
bn121,4
bn78,8
bn531,3
bn582,7
bn262,2
bn446,7
bn555,7
bn325,5
bn346,1
bn418,4
bn358,3
bn561,6
bn376,7
bn477,8
bn102,8
bn243,7
bn258,2
bn213,6
bn274,5
bn264,2
bn360,4
bn508,2
bn89,4
bn234,4
bn502,6
bn291,1
bn220,8
bn117,8
bn241,7
bn285,2
bn188,6
bn126,8
bn66,2
bn310,6
bn22,5
bn217,4
bn15,4
bn200,8
bn356,8
bn364,6
bn504,7
